uid,mid,date_watched
5625,4793,2023-09-14
13031,13238,2023-07-19
4508,16252,2024-05-25
3843,19253,2023-08-19
13640,10708,2024-02-17
13066,34207,2024-04-20
758,28741,2023-07-12
2093,3544,2024-05-30
8089,39112,2023-07-15
11732,35032,2023-07-28
12030,42930,2024-04-17
1590,212,2024-05-16
3399,39796,2024-03-06
3858,332,2023-10-06
5327,23245,2024-04-28
1948,8170,2024-06-01
13903,22105,2023-08-08
6680,41902,2023-08-07
12946,14592,2024-04-25
1386,31712,2023-12-26
3676,728,2023-10-05
11744,21360,2024-04-07
7649,43823,2024-02-23
7375,36012,2023-12-11
1731,37864,2023-10-05
3791,22999,2024-03-13
11286,10930,2024-05-04
11439,14843,2024-03-18
793,23520,2024-04-18
10447,17394,2024-03-14
12384,34319,2024-03-05
4832,8996,2024-03-01
13972,28657,2024-03-07
949,40261,2023-10-31
8259,15568,2024-05-20
5950,28841,2023-12-16
7487,23832,2023-12-22
6623,13266,2024-03-25
11761,5425,2024-01-20
5344,20626,2024-05-20
5267,14087,2023-09-04
1802,29188,2024-05-10
11064,35930,2024-05-19
5886,20540,2023-08-28
10020,25104,2024-02-04
5630,27875,2024-07-07
5026,9216,2024-03-22
3605,39386,2023-11-18
297,22045,2024-02-21
11542,11927,2024-02-03
4313,31502,2023-07-15
12783,29775,2024-04-27
9053,25009,2023-11-15
4484,17561,2024-02-17
2422,24341,2023-09-27
8099,24977,2023-09-15
3026,27627,2023-11-13
7872,32721,2023-10-18
292,35002,2024-06-17
7220,4701,2024-04-26
2025,43796,2023-09-29
11869,7861,2024-07-04
6382,7527,2024-01-06
8895,38328,2023-09-11
11559,39501,2023-12-20
9434,2514,2023-08-04
4377,7831,2024-01-26
11684,14782,2024-04-23
2606,7911,2023-11-10
10081,15848,2024-04-08
754,5650,2024-01-14
2906,9121,2023-08-01
7193,1952,2023-11-13
6641,10166,2024-03-04
9656,14353,2024-06-23
2081,9747,2024-06-05
13917,43739,2023-11-23
8433,28998,2024-05-29
11506,41955,2023-11-20
3006,24184,2024-02-19
1829,8805,2023-08-13
1938,27170,2023-08-01
8775,596,2024-02-16
3071,29593,2023-07-28
2054,40644,2023-12-07
5854,20824,2024-05-28
6789,5973,2024-01-23
2480,15883,2023-07-18
11206,859,2023-10-11
4831,5520,2023-09-08
1897,23770,2023-10-27
8250,25021,2023-11-16
8215,42749,2023-12-07
6711,37086,2024-02-17
5629,19839,2023-11-25
4156,12880,2024-06-17
11656,33799,2024-02-28
357,42256,2023-08-04
6382,24291,2024-05-20
8910,10256,2024-06-19
9303,1448,2024-02-24
11930,43006,2024-05-29
13263,29196,2023-11-26
2144,2851,2023-10-19
5518,28401,2023-07-17
12010,11954,2024-02-11
4643,40875,2023-11-17
3203,23536,2023-11-21
13566,10001,2024-03-16
12377,9504,2024-02-02
7253,15494,2023-12-09
10343,4056,2023-09-30
7495,38171,2023-12-21
3265,32409,2024-05-26
9969,42050,2024-01-21
2350,34441,2023-11-30
1249,28252,2023-10-11
4594,4533,2024-01-18
6390,4925,2024-04-05
6292,12547,2023-09-03
11478,26580,2023-10-25
9983,6086,2023-11-30
12278,12391,2023-12-03
13010,13281,2023-12-11
12969,24119,2023-09-20
1743,4865,2023-07-06
5634,42085,2024-05-17
9732,33990,2023-09-05
4294,35629,2024-02-23
12210,26850,2023-09-10
8540,27567,2023-10-03
11470,10703,2024-04-29
2652,41197,2024-05-21
5687,15386,2023-09-16
193,9337,2023-09-05
2295,31226,2023-12-23
3056,36022,2024-05-16
5068,3783,2023-12-19
4528,23342,2024-03-11
12064,24095,2023-09-01
2964,23867,2024-04-27
11521,19050,2024-03-02
12078,42720,2024-01-08
1051,30993,2024-05-24
12354,14568,2023-09-09
8447,3514,2024-06-30
5794,13336,2024-02-14
7039,38591,2023-09-01
4588,14838,2024-04-22
9587,12123,2024-03-01
5006,34841,2023-07-07
4082,31008,2024-03-16
9814,41298,2023-09-27
6110,27685,2023-12-24
13798,26394,2024-01-20
13541,22755,2023-11-11
1313,20800,2023-09-20
4591,38728,2023-07-21
4830,9108,2023-11-05
11391,5994,2024-01-11
11022,30806,2024-01-10
4650,28115,2023-12-31
9241,37790,2024-03-03
8145,42943,2024-06-25
12852,16139,2024-06-24
3541,9191,2024-05-19
1140,26724,2023-12-07
6988,12887,2024-01-10
1788,16780,2023-10-18
3531,28175,2023-09-04
8849,29087,2024-03-10
10772,17323,2024-04-08
5990,42597,2023-08-29
3449,35279,2023-10-26
320,18034,2023-08-13
4988,20075,2024-01-26
7117,3436,2023-08-05
9246,35970,2023-07-19
5695,28943,2023-09-29
12835,29060,2024-04-26
11354,32827,2024-01-28
8091,30298,2024-02-07
9102,43891,2024-02-02
13041,21323,2024-02-08
7778,35740,2023-10-06
4737,9720,2023-07-19
13598,14018,2024-04-22
11407,8315,2023-07-26
7774,28296,2023-07-28
8303,9629,2023-09-02
7434,42123,2024-05-19
9530,11493,2024-02-08
2300,36114,2023-09-18
10811,15358,2023-08-20
1164,33330,2023-10-10
3539,20366,2023-12-23
10852,39030,2023-07-10
1155,1738,2024-02-22
2422,9097,2023-10-08
3515,19939,2024-02-13
396,12683,2023-09-02
12563,27500,2023-07-19
701,41895,2024-05-27
3265,41035,2024-05-13
794,295,2023-11-18
5183,32537,2023-07-25
9426,24597,2024-02-13
285,32650,2023-09-27
10587,11435,2023-09-30
1075,38099,2023-08-11
3070,4656,2024-07-07
6197,17494,2024-04-20
1279,3772,2023-09-19
3422,8564,2023-10-15
3489,17559,2023-10-19
8414,33933,2024-04-02
10352,42244,2024-01-30
1911,26568,2024-02-16
5949,32377,2024-05-01
6804,21923,2023-10-29
664,12389,2023-11-11
5537,29333,2024-05-01
1990,23496,2024-01-24
2828,8435,2024-07-05
3958,20992,2024-03-13
13008,27473,2024-01-01
7550,40031,2024-04-11
4109,26850,2024-06-27
11188,1542,2023-12-27
1781,2766,2023-08-17
3104,43075,2023-09-25
7901,37260,2023-07-19
249,29284,2023-08-15
10824,35852,2023-08-25
1504,34626,2024-02-14
12344,770,2023-11-22
879,17807,2023-09-30
11462,24983,2023-09-20
8191,2973,2024-02-10
7655,18257,2023-09-17
12628,38368,2023-11-27
7438,18654,2024-06-25
7301,38044,2024-04-08
5691,21134,2024-05-06
5896,39340,2023-12-07
2901,25758,2024-05-11
632,37841,2024-06-29
6081,42400,2023-12-03
1936,44014,2023-12-03
13303,32070,2024-01-18
10742,14707,2024-06-05
8811,38232,2024-06-06
7066,27910,2023-10-25
5720,40219,2023-12-01
3045,11096,2024-06-28
8087,20344,2024-05-26
12418,26470,2023-10-27
4875,1314,2024-01-15
12402,7848,2024-03-19
2463,9167,2023-12-31
12134,9931,2023-11-25
6750,3286,2023-12-13
8268,35864,2023-09-13
4590,16705,2024-02-21
10988,18706,2024-05-09
9258,556,2024-03-28
6097,21324,2023-12-26
6709,5433,2024-04-08
9453,1387,2023-08-20
13498,44008,2023-09-13
13216,10620,2023-11-21
6014,6855,2024-06-07
11061,42965,2024-01-04
10269,7638,2023-10-31
948,21226,2024-05-27
4241,26740,2024-03-07
12023,10619,2024-04-21
3864,36562,2024-05-18
669,7374,2023-11-07
11548,35282,2024-03-08
1243,20188,2024-06-22
6388,2328,2023-12-27
6552,32392,2024-06-13
7604,41578,2023-10-18
10002,18550,2024-06-02
4872,39221,2023-09-16
13220,7643,2023-07-02
3949,14436,2024-05-16
13460,33761,2024-04-01
2586,38193,2024-04-15
10947,4382,2024-04-22
3219,31048,2023-12-16
5786,19559,2024-02-25
3146,30783,2023-07-23
5,4783,2024-04-19
5317,25882,2023-12-19
5410,40229,2024-05-18
4964,29410,2024-05-13
971,19463,2024-04-11
9278,2984,2024-06-07
7122,31934,2024-01-09
4237,2524,2023-12-16
7061,9678,2023-10-26
7174,10293,2023-07-06
8082,15090,2024-05-26
6894,4582,2023-11-09
12651,11908,2023-10-01
4560,5610,2024-03-07
730,22937,2023-07-10
13512,42726,2023-08-20
1788,33989,2024-06-13
9969,29507,2024-04-19
4847,13164,2023-11-06
8406,12538,2024-03-05
925,22420,2023-10-10
11962,42579,2024-06-01
5272,9456,2023-09-21
9656,9064,2024-01-07
9027,835,2023-11-20
8403,32215,2024-02-22
6044,27399,2024-04-12
2933,34493,2024-04-02
1245,2414,2024-04-16
7655,9506,2023-12-16
2026,37267,2023-11-21
9299,2106,2023-12-31
1759,2569,2023-08-14
1176,42099,2024-02-28
13016,37680,2024-05-10
607,33561,2024-03-24
11136,14196,2024-03-09
13502,15763,2024-04-14
7900,41295,2024-01-28
5332,15899,2023-12-24
654,21578,2023-07-21
3767,1215,2024-05-11
12870,20804,2023-08-21
7499,23699,2024-02-18
13279,32981,2023-10-31
3438,1659,2024-06-26
13595,12271,2023-10-08
4165,37793,2024-01-30
13086,22302,2024-05-22
9757,5142,2023-11-12
675,38757,2024-05-13
7099,13778,2024-02-03
10581,38347,2023-09-26
8225,29442,2024-04-05
3242,28470,2023-08-09
4344,3846,2024-02-25
1774,23291,2024-05-27
3601,30700,2023-11-13
13379,33147,2023-12-29
7348,3294,2024-03-21
2839,16609,2024-03-15
11643,738,2023-12-29
12332,16620,2023-07-21
9530,12471,2024-06-15
5283,22373,2024-01-12
11405,16118,2024-01-28
13391,14780,2023-07-16
2236,29295,2024-01-18
13340,21631,2024-06-27
11346,40040,2024-02-03
12835,12179,2023-10-01
13610,19936,2023-11-10
11246,22785,2023-11-16
10552,23028,2023-12-04
6712,31009,2024-05-30
2574,1824,2023-09-08
6579,6853,2024-04-29
12933,13073,2023-07-15
9922,11134,2024-02-20
13695,15112,2024-01-28
7516,32313,2024-04-15
10044,24162,2023-08-29
4547,39288,2024-03-08
10357,1778,2023-07-02
5976,24015,2024-02-21
6760,14773,2024-05-31
2944,18162,2023-07-19
11538,42265,2023-08-18
7485,7491,2023-09-16
7000,41662,2023-07-28
12017,24503,2023-08-17
2584,35758,2023-10-04
9918,41112,2023-12-12
11103,32738,2024-06-29
9302,17710,2023-12-23
9635,8999,2023-09-11
4706,28907,2024-06-20
11374,35491,2023-07-29
2934,4657,2023-12-04
8622,36902,2024-05-09
5973,25736,2024-04-29
12879,29093,2024-04-04
9182,1243,2024-04-08
6398,41308,2023-07-07
11833,1832,2024-04-30
946,28512,2023-12-29
1782,7247,2023-10-17
10218,31468,2024-05-19
6928,18303,2024-01-22
12033,3233,2024-02-19
2522,36527,2024-01-03
9855,38766,2024-05-24
4095,10973,2024-06-21
5147,34593,2023-07-08
2833,10684,2023-08-22
11785,23665,2024-01-15
5827,36829,2023-11-14
5482,33173,2024-03-15
8097,18106,2024-05-29
5631,21701,2023-12-19
13574,11018,2023-09-24
4008,36614,2023-08-15
1161,20595,2024-06-10
7818,11385,2024-01-02
4475,30349,2023-12-03
10731,16449,2023-07-09
4202,9492,2023-10-23
5821,13113,2023-12-01
3468,31022,2023-11-07
12256,969,2024-05-26
10833,369,2023-09-19
9040,8425,2024-04-15
2177,35011,2023-11-24
11061,35852,2024-04-20
11183,25497,2024-03-25
12472,30937,2023-11-10
9062,13323,2023-08-19
6843,1470,2023-07-23
9912,37494,2023-09-26
11356,4260,2023-10-20
512,36391,2023-10-19
8401,10293,2023-09-10
8903,26842,2023-12-01
4069,28366,2023-08-26
3362,17208,2024-03-13
920,36200,2023-12-03
7763,22913,2023-10-21
5840,36920,2024-05-13
9803,36982,2023-08-16
11433,15236,2024-02-23
507,41758,2024-05-29
7638,33548,2023-10-14
7682,43811,2024-01-03
823,19277,2023-12-06
11635,31924,2024-01-14
7259,5535,2023-12-24
11095,26470,2024-03-17
8962,36075,2024-04-12
11752,35671,2024-04-18
6083,32564,2024-05-30
2599,36487,2023-11-20
3062,22,2024-05-03
2881,34269,2024-01-13
1217,41803,2024-02-10
4174,15800,2023-08-12
1666,26337,2023-11-28
5168,3642,2024-04-21
5199,21597,2023-09-01
2238,32960,2023-11-07
9974,13307,2024-03-11
6901,8588,2024-06-07
7452,31360,2024-01-30
12419,21499,2023-09-11
12138,4663,2023-10-12
3535,37095,2023-12-05
3861,41834,2024-03-28
5739,27198,2024-05-10
10613,20720,2024-02-23
3009,24666,2024-04-28
5063,43240,2024-07-06
6012,25033,2023-12-05
13679,12642,2023-10-17
12239,41965,2023-07-09
8882,30029,2024-05-16
823,15652,2023-08-28
1460,8537,2024-06-22
4587,6274,2024-01-08
793,6285,2023-11-13
7281,25693,2024-03-07
490,8818,2023-11-23
7495,28956,2024-06-11
8177,26556,2024-06-16
4266,20379,2023-08-27
4455,41183,2023-12-24
2597,17128,2024-04-13
10106,17953,2024-03-01
812,11540,2023-08-17
2877,14693,2024-04-26
5041,18121,2024-06-20
11864,13335,2023-10-08
5581,28616,2024-01-29
8430,7904,2024-04-27
5075,28528,2023-12-12
11427,15630,2023-11-03
7361,17741,2024-04-27
4586,33783,2023-10-29
7287,26709,2023-09-26
11225,10861,2024-02-02
5683,17439,2023-08-30
7746,1765,2024-04-27
3731,6010,2023-12-26
11509,20843,2024-01-06
1262,42373,2023-12-10
10903,33436,2023-09-19
1157,3371,2023-12-17
2251,38745,2024-04-26
7955,20455,2024-07-08
5256,41382,2024-01-12
5400,38368,2024-01-19
11269,3651,2023-08-16
6636,25709,2023-12-05
11581,42663,2024-01-10
4824,3191,2024-04-04
9443,8790,2024-05-12
7425,32126,2024-03-25
5429,33160,2024-01-15
9019,17460,2024-02-09
4425,35419,2024-03-19
8105,18769,2023-12-13
6896,15564,2023-12-27
4941,27886,2024-01-08
6826,21886,2024-02-01
7336,6896,2024-04-09
1048,23959,2024-06-16
2634,1532,2023-10-15
7151,5482,2023-10-06
11611,23933,2024-07-02
11588,21361,2024-02-15
1637,43643,2024-03-13
5388,24830,2023-08-12
1286,19933,2024-02-27
6408,38932,2023-08-11
13799,38033,2023-10-03
11280,15891,2024-03-10
7033,18808,2024-01-04
2776,11768,2024-05-02
9504,8072,2023-12-14
1635,26150,2024-03-27
6267,15541,2023-11-02
11523,35677,2023-12-08
5636,4713,2023-09-25
10673,26202,2024-05-04
12006,19900,2024-02-11
13902,19788,2023-11-22
9675,20983,2024-06-09
10143,22607,2024-03-04
1460,10151,2024-06-26
8786,20394,2023-07-06
9967,37260,2023-07-31
8797,27751,2024-01-13
7589,8594,2024-02-17
4407,17359,2024-04-21
1419,16608,2024-05-20
9442,37382,2023-11-12
10114,24812,2023-07-13
3236,28075,2023-07-04
7514,20596,2023-12-25
3581,26854,2024-02-19
1905,8184,2024-03-15
6683,20662,2023-11-17
3018,41170,2023-09-03
5396,36496,2024-04-08
10501,13704,2024-06-27
4281,30816,2024-05-01
9000,29566,2024-01-21
6072,22943,2023-07-17
11889,42987,2024-01-16
12421,33162,2023-08-01
11809,41804,2024-01-28
4363,9717,2024-03-29
4843,41564,2024-04-15
4944,33350,2024-04-16
9530,42900,2024-02-19
3804,133,2023-12-29
9368,3386,2023-11-23
6714,36539,2023-08-19
8742,35037,2023-10-11
13211,33744,2023-08-02
9181,40374,2023-09-27
9671,7214,2024-06-05
10245,26120,2024-05-10
3167,2836,2024-02-26
6625,2739,2024-03-22
10283,42318,2024-02-08
12572,4135,2024-02-21
599,25893,2023-11-30
1309,39602,2023-08-26
1626,8354,2024-05-17
11727,15691,2023-10-20
7671,1910,2023-07-15
918,25704,2024-03-25
1023,14497,2023-10-22
5124,12063,2024-03-08
13523,9851,2024-07-08
228,27702,2023-11-19
2200,34732,2023-10-22
3722,5154,2024-04-15
13067,10482,2024-06-21
6411,33735,2023-07-25
1947,890,2024-07-02
5005,19446,2024-05-05
13555,6462,2024-03-11
4270,38935,2024-03-24
11220,28206,2023-11-03
11571,23352,2024-03-06
12585,16007,2024-04-12
11098,10941,2024-05-29
5443,11259,2023-08-22
9537,24486,2024-07-02
13938,23764,2023-08-12
11799,40049,2023-12-13
6285,1068,2023-08-11
1351,20608,2023-12-23
3471,43884,2023-09-05
5740,9019,2023-09-04
13549,15188,2023-09-21
3581,37376,2024-06-14
3679,3986,2023-10-13
9683,43053,2024-04-12
11924,19564,2024-07-08
8148,37307,2024-01-02
3425,18609,2024-04-09
2798,39140,2023-07-04
8757,1727,2023-11-15
8215,26583,2023-12-26
7209,5792,2024-02-22
13418,8459,2023-07-18
1448,17222,2024-04-28
11070,20969,2023-07-09
11118,17071,2023-07-29
5158,27938,2023-11-21
8644,41832,2024-06-12
11306,42934,2023-11-26
7670,37416,2023-09-02
762,42771,2024-07-01
4563,20803,2024-01-03
13414,43602,2024-06-30
9432,10421,2024-02-12
13754,6643,2023-10-26
6914,19776,2024-06-20
12472,28755,2024-03-10
3814,43311,2023-07-31
2840,4358,2023-12-08
7578,21264,2024-01-31
634,13202,2023-12-16
11066,2740,2023-09-19
5059,13232,2023-08-15
12423,42279,2023-08-18
4930,42496,2024-04-23
3870,21169,2024-07-02
6137,32625,2024-04-08
7197,10636,2023-09-26
7407,9965,2023-10-29
5415,27786,2023-07-03
13311,29511,2024-05-11
6227,17262,2024-02-12
7986,19255,2023-09-17
10795,11393,2023-11-22
2874,12337,2024-02-27
1019,11940,2023-08-01
11243,27413,2024-03-19
1676,16677,2024-01-27
7809,9844,2023-09-09
3419,25113,2024-01-13
12772,30599,2023-08-27
5808,35455,2023-10-20
7121,33002,2023-08-17
350,27229,2024-01-01
4899,14430,2024-07-01
1933,18759,2024-05-22
10231,2273,2023-12-12
104,17351,2024-01-31
2966,22539,2024-05-26
9084,3401,2024-05-25
7504,15372,2023-10-29
7513,37311,2024-01-29
13259,36292,2024-05-06
5219,18148,2023-08-10
1110,3292,2024-06-17
10111,35257,2024-04-14
12756,10893,2023-12-15
11423,34327,2023-08-03
2288,37459,2024-05-13
8510,38890,2024-03-31
13645,37208,2024-01-13
13235,40289,2024-01-07
7544,25996,2024-02-06
4253,5410,2023-07-10
13623,42439,2023-10-28
4020,29824,2023-10-31
7065,7870,2024-03-03
7033,35725,2024-06-24
4879,22402,2024-02-06
13867,25959,2024-03-17
4095,10767,2023-08-27
1728,19769,2024-05-10
10439,30795,2023-11-05
7361,26146,2024-01-03
8797,10087,2024-01-21
479,43204,2023-09-24
499,26443,2023-10-12
8270,16413,2023-11-20
12900,25597,2024-01-21
12858,10256,2023-11-06
2095,42407,2024-03-02
11043,40525,2023-08-07
9955,23333,2024-06-27
6084,15765,2023-10-17
1555,27564,2024-05-04
7285,22140,2023-08-21
7235,36371,2023-07-01
3731,5063,2023-07-11
11011,7245,2024-05-09
4904,6373,2024-02-20
4273,39874,2023-11-05
13551,19966,2024-01-30
7340,16957,2024-02-28
6695,40474,2023-08-13
6092,13895,2023-07-06
2143,33383,2023-12-03
12433,4051,2023-07-08
4875,16710,2023-07-05
811,15723,2024-06-26
8034,15211,2023-12-29
5660,36546,2023-10-20
4639,38675,2024-03-29
5071,34490,2024-03-21
12870,17734,2024-01-28
10110,20081,2023-09-16
10368,36665,2024-03-26
3514,39710,2023-12-01
7334,38015,2024-02-06
9861,41153,2024-07-03
344,27251,2024-06-11
8960,20230,2023-07-25
12820,16476,2024-06-18
10452,43877,2024-01-24
865,29012,2023-07-03
12249,8129,2024-01-31
4458,32451,2023-10-20
10271,18898,2024-01-08
1172,8169,2023-08-16
8522,6862,2024-02-06
8675,41759,2024-01-03
11324,13751,2023-08-19
7996,16989,2024-01-13
4953,2980,2024-02-01
10135,23525,2024-02-06
6639,7066,2023-09-28
4814,37685,2024-02-17
2909,23185,2024-05-18
3469,33366,2024-03-14
11565,23705,2023-11-30
1347,5623,2024-03-12
7091,18262,2024-03-14
12268,28420,2023-09-03
4768,34468,2024-01-06
10409,25606,2023-09-29
4625,29172,2023-12-20
10437,22165,2024-03-03
13146,13797,2024-03-12
6976,36855,2023-10-24
7044,31321,2023-08-18
9616,666,2024-02-12
6336,32695,2023-09-07
8112,24231,2023-11-03
7036,22996,2024-01-29
9645,26785,2023-08-22
7097,14606,2023-10-20
10769,17464,2023-12-06
12829,8420,2024-02-25
10304,33838,2023-11-27
1426,5264,2023-11-16
12631,40720,2023-10-21
4356,34132,2023-11-20
7743,37277,2024-07-04
9645,34524,2023-11-15
5210,520,2024-04-29
4732,31107,2023-07-31
4949,10515,2024-04-18
3272,7234,2023-10-16
7825,1103,2024-04-09
10415,598,2023-12-06
2275,19658,2024-05-21
4987,38550,2023-07-14
7138,43566,2023-10-30
232,6257,2024-01-31
6422,43149,2024-03-28
3567,29402,2023-07-25
5544,41549,2024-05-17
2927,6555,2024-04-19
3674,12665,2023-12-16
6066,42368,2023-10-11
11318,24387,2024-06-18
4259,4847,2024-07-05
10880,26206,2023-08-09
8036,25571,2024-02-20
5664,30256,2024-05-15
4395,21183,2023-09-27
6364,39374,2023-10-08
3913,43020,2023-11-21
12425,16044,2023-09-20
12110,35755,2023-09-15
12329,401,2023-08-28
2001,19240,2024-02-14
6349,10417,2023-09-29
855,3413,2024-06-18
7925,16441,2023-07-01
7445,24407,2024-03-25
6333,1876,2024-04-11
6185,37067,2024-01-13
11732,36537,2024-03-30
6126,5753,2023-09-16
7782,21218,2023-11-18
9186,12490,2024-04-13
12742,1354,2023-09-09
11234,26987,2023-08-19
10006,21372,2024-07-06
8567,39366,2024-07-03
11553,14692,2023-09-18
1982,4312,2024-02-20
3361,10795,2024-04-12
761,2935,2024-05-02
4283,16407,2023-12-02
766,10395,2023-08-29
10256,26873,2023-08-02
12443,41709,2023-11-04
6872,41094,2024-02-06
11409,20801,2024-01-16
7665,43398,2023-11-03
8051,37910,2023-08-10
5219,21353,2024-03-31
5680,36440,2024-04-22
12986,28313,2023-09-23
4872,40061,2023-09-27
3995,15439,2023-08-11
6772,23386,2023-10-28
13811,18483,2024-04-04
7076,32472,2023-08-02
6471,43878,2024-04-01
618,41213,2023-11-30
2488,13027,2023-09-28
11404,42090,2023-10-12
2688,19649,2023-07-12
10255,5436,2023-12-07
13484,8494,2024-01-12
10040,6692,2024-05-02
7335,2764,2024-03-18
7032,20390,2023-09-29
10583,31499,2024-01-13
6285,36010,2023-09-07
5335,35826,2024-02-05
10548,16935,2024-01-30
10573,5575,2023-11-23
13462,38180,2024-02-18
6588,1588,2024-07-05
