uid,mid,rank
6285,5241,3
2973,4433,2
13663,14179,5
5906,303,2
12410,8151,2
459,39578,3
13718,5127,3
1741,17303,3
5965,1532,5
3440,40442,3
5845,10268,2
1157,29927,2
220,4633,1
3691,6169,4
7656,8259,1
10443,26735,4
4301,26070,2
13005,7944,1
6986,6739,2
2567,19124,2
1856,10168,3
971,3813,1
9599,27286,5
1828,1606,4
11708,10590,1
13141,24819,5
10882,9112,2
8754,14044,3
8290,22351,1
2646,13235,1
4384,847,3
13798,22701,4
6564,30106,4
10097,36977,4
12941,2049,2
13036,42534,5
2012,20619,4
7083,20129,2
10326,10,5
6133,9866,4
7136,5288,2
1714,8513,5
10663,19217,1
2089,27535,3
11964,42079,1
1699,31038,4
330,42930,5
8662,36299,1
2730,8163,3
2655,5416,4
6046,21853,3
9159,30524,3
4915,15525,5
2993,23931,2
10908,20612,1
1160,18521,2
10630,9511,3
7899,6566,1
5237,37439,1
2807,2193,1
11341,18382,5
3782,26728,3
11397,1971,3
1297,24520,2
5662,15375,5
5503,25054,3
514,10790,1
1215,44029,5
1045,2337,4
2740,32266,5
1960,43873,5
7421,29487,4
6454,40632,5
3814,14383,4
2986,3757,2
189,35443,3
10242,33562,3
2211,5780,3
11612,14154,2
10636,24939,4
10552,10381,2
1079,15329,4
11017,19916,4
4546,15344,4
11222,38728,2
11343,41564,2
6119,20531,5
11820,3369,3
13813,34561,5
3571,36186,4
9492,19257,1
1949,37431,3
5126,2709,1
9619,31881,2
3602,39225,5
13319,40739,4
631,34394,3
8068,8578,2
8761,36369,3
9241,4972,3
13585,1991,4
13092,19957,1
6415,37149,3
4852,19098,4
5683,27697,1
13490,19817,1
4338,24918,4
5277,9917,1
4517,9985,5
9276,26839,3
8153,33720,3
11676,2080,5
11663,20909,5
8572,7312,3
2160,33537,3
11344,28866,4
5327,26738,3
5021,12343,3
13182,37642,2
10188,16439,4
10110,19847,5
11366,10999,3
10777,8520,1
3405,3301,3
7313,24161,4
3149,13576,2
8065,34912,3
12270,41125,5
5100,823,2
6245,4426,1
2293,20080,5
9201,13860,5
4272,8706,1
6947,22420,3
4936,15359,2
13089,37335,4
1650,14597,5
13316,1280,1
13459,7084,3
5714,43862,4
13686,19064,3
8268,20608,1
12240,35955,1
2668,12809,2
8523,34073,1
5972,17686,3
2636,41402,5
11467,8997,3
7076,31890,5
10376,38244,1
10368,39953,5
7236,12876,5
8136,16726,5
2169,40761,3
4358,30988,5
6231,8647,2
9995,11665,2
3123,24028,2
3724,20610,4
6036,19251,5
11650,21875,2
4219,24064,4
9423,24763,3
1428,28770,5
7574,21793,2
7810,8943,4
1857,31988,3
12207,24059,5
6217,482,1
248,40386,5
2215,15049,1
5855,34009,5
9225,18024,2
12407,13351,3
12513,28146,5
4298,41132,3
3644,20582,2
6762,26213,4
4185,6961,5
5231,36409,1
8077,20492,3
5990,12255,5
11439,1751,5
2516,39888,1
6704,11919,3
4088,25065,5
13944,27936,2
13422,4807,1
12277,22298,5
3252,28922,5
7781,4233,3
8102,17906,3
13109,34269,2
3389,25511,3
4592,17851,2
709,21777,3
2762,30908,5
13504,16515,5
13577,2984,2
4373,23511,4
8325,28536,1
11874,15318,1
7659,27346,1
12398,13738,4
11808,8503,3
3336,546,3
13680,13920,3
7301,41774,4
12411,29630,1
12859,8437,4
13079,33040,4
9549,10617,2
7164,24575,4
12771,10817,1
2145,33934,2
6562,32914,5
7927,25281,5
8151,23896,4
10521,43002,5
10395,41899,4
4900,807,3
13468,34637,2
7973,14900,4
5785,15935,5
3659,34158,2
7369,17321,1
10840,14200,5
1891,8246,1
13927,11363,4
2008,30449,5
10201,7658,3
11024,25426,1
8289,28832,3
12356,7288,5
10317,37444,5
11968,17675,1
13334,23875,3
9274,32285,1
1313,37785,2
9642,28842,1
13869,42521,5
9705,15586,4
1069,4134,3
4067,5296,2
9200,29126,5
11674,9904,5
9082,20421,5
12975,38002,5
412,2397,3
2840,1592,2
6278,26573,5
1407,20696,3
2478,19624,4
1799,39693,3
2699,32089,5
13576,20671,3
2564,22535,5
651,9018,1
5245,12714,2
2814,22891,5
3836,42535,2
2498,26589,4
389,10178,5
11404,9883,1
13639,34833,2
13082,37312,5
13057,1008,3
11813,29258,1
9534,13282,4
666,35151,5
5179,16662,4
7154,18272,4
1360,7492,3
1135,14860,1
8168,9078,1
8308,20954,3
6448,2354,5
4906,11940,3
5441,21428,5
10794,21511,5
9193,44065,3
10793,29242,2
11840,26030,2
3451,14289,3
6635,32233,5
10491,17483,4
1918,13262,4
3188,11723,3
3873,28088,4
1083,39215,5
12313,34451,1
13793,5627,1
12952,19983,2
2075,26432,1
9079,17176,4
10096,38159,4
2350,19995,4
6668,5777,5
3475,8712,3
3728,30708,3
12731,17344,4
8979,5656,4
4568,15252,1
10540,11537,4
1970,34532,1
5892,9209,4
5204,35202,3
13470,20173,1
4262,26590,2
1484,41126,3
5515,41689,1
2138,20582,1
13798,32982,3
13494,9769,1
6826,38560,4
2815,8906,2
8127,6369,1
12331,18334,1
6827,43202,2
1804,10362,2
12525,3042,2
9173,25004,1
1990,6091,5
6177,1926,1
7012,26016,1
9002,36680,2
3484,25684,3
2525,26631,3
13490,32976,4
11748,27962,2
989,33283,1
7962,29546,3
7274,10327,4
11243,1561,5
1361,26746,3
3733,4781,5
11989,2357,3
8074,20050,2
756,37413,1
9369,14026,3
12417,39005,1
9189,30028,1
7100,957,4
12898,25964,4
1050,39064,2
1807,15283,1
6658,25850,5
5726,12004,2
10669,26018,4
10084,12202,3
1489,42230,5
13674,33298,5
3053,27491,2
3686,26724,2
9226,526,2
469,26917,5
12292,4649,4
12763,34415,1
3250,41090,1
2208,43007,1
5638,20940,4
12683,36143,3
3176,33398,2
5819,11084,1
9567,6277,4
5990,13995,4
6751,43321,4
9594,19577,3
6147,6117,4
10499,26929,1
9942,26156,4
1485,1743,4
1369,34708,2
10668,16002,1
9603,25620,2
11131,15361,3
4388,10725,5
5273,39749,1
9295,33998,4
4680,41236,5
2384,1240,3
220,23858,5
9495,15399,3
3344,9111,4
13700,12116,5
12690,1970,2
986,4471,2
9651,41975,5
7614,13670,5
9805,38007,2
10761,22474,2
12336,15505,2
3814,303,1
12970,42824,1
5004,30660,1
3167,31891,5
9614,13381,1
11960,8126,4
4128,37874,1
11519,7849,1
13070,6925,1
3923,19615,1
3268,29166,4
9924,4115,2
7856,31117,1
9137,17773,3
3807,1368,1
2867,3727,1
11434,37575,5
12273,35644,5
5687,17825,1
9022,28145,3
6154,14438,2
11625,39779,2
9248,35758,1
9313,22613,2
6566,35632,2
10788,26524,5
1272,4761,4
5347,16354,5
11309,11564,4
11117,8235,2
10698,13179,3
9291,24597,3
9301,4432,5
5338,39311,1
9001,36915,4
13171,37651,2
13740,6013,4
7246,28212,3
9979,6895,4
7406,42642,2
12303,43597,4
2232,20830,3
1381,29735,5
3749,23487,1
8200,8637,2
5142,24612,4
9762,12150,1
5386,5496,5
13768,11131,5
7380,34069,4
12263,37385,2
13366,10618,1
9947,31402,1
3320,34085,4
12432,39576,3
3778,7228,2
7095,146,3
3135,42423,2
12963,26161,3
3274,17634,1
725,14997,1
8948,11696,5
10753,33756,3
8936,9161,5
6747,7422,1
864,17728,3
4453,28483,2
6875,31911,1
6697,29372,3
5794,17626,2
9477,39533,4
13126,7844,3
167,31368,1
10201,37958,1
11333,6705,4
3808,5052,5
2570,36379,5
11110,34504,2
8353,40748,5
12440,40195,2
11061,19202,1
3969,9687,4
756,30138,4
10155,10527,1
12693,208,2
2588,23198,1
10389,3084,1
13806,42892,4
10849,34448,5
7541,37212,3
13012,26117,4
12230,41324,1
380,32917,4
4132,26343,1
1107,11024,4
9810,19170,5
3820,16164,1
5877,22642,5
9888,18793,5
2912,30683,1
2591,38068,2
3362,37175,3
8692,10383,4
8530,36876,1
12424,25170,5
1921,11422,2
7724,8326,3
12206,31751,4
7788,8265,5
7937,6722,3
4320,7374,4
6192,28938,1
10272,8985,5
13695,8287,1
9420,31056,5
11233,35299,1
7140,5773,5
2624,35733,2
1058,16921,4
7435,23564,4
12011,8735,4
5872,35263,5
12425,20734,2
5274,27287,3
6525,39923,5
10240,31498,1
4832,36619,2
13659,26527,1
5173,29795,5
5543,28862,3
6501,31824,4
8895,32004,4
1733,23313,5
1477,34172,4
3387,41780,4
12506,37286,2
9795,32372,5
10426,27606,5
6235,10838,5
12892,4482,3
6643,37606,5
6888,24023,2
6102,5543,5
11371,22741,2
8528,16053,2
4363,672,4
8751,44003,1
4890,10635,5
2450,29301,2
10844,38596,2
13970,37488,4
688,21224,3
12091,26036,5
3588,43405,1
4295,30912,1
3286,33161,1
6367,3632,5
9407,23562,2
3992,28672,4
2374,25365,4
9001,27426,3
6964,23473,1
7194,25432,5
13822,39852,1
6325,26725,5
3366,28759,3
3551,7789,3
8694,24035,1
1763,16532,5
12614,10143,4
9961,4532,3
5605,28139,2
13667,41733,2
9860,28271,4
7599,17631,1
2471,31183,2
9249,11825,4
7074,26190,1
10503,12505,2
12501,20670,2
2291,20132,4
6073,21992,2
10708,33549,5
6398,3984,4
13632,16906,1
9222,23954,1
5879,4584,3
5036,39897,2
11124,12276,4
11530,27936,3
780,18545,5
12353,30842,1
4970,43951,2
2291,28045,5
396,23912,4
10046,28928,3
9655,43542,4
12155,19922,2
12595,24859,2
11965,26063,3
13813,20568,4
8747,43286,3
10755,1725,1
11030,8707,3
117,29726,4
9591,36069,2
7448,36496,1
6090,25861,3
543,38788,3
5438,42816,2
8128,2521,2
1523,36736,3
9209,11330,1
2254,37901,1
2642,19364,2
2744,10806,4
10543,13945,2
7699,23929,4
2729,36752,3
7997,5111,3
1219,17082,4
9691,38020,4
2024,1014,3
7416,1829,5
13204,2024,5
10372,38660,4
1175,37805,4
10607,27767,4
3387,29198,3
4526,23226,4
11234,36728,2
688,14227,4
12442,43923,1
3485,5998,3
12788,42093,4
636,21818,5
11261,10259,5
13122,5470,1
9493,10721,2
925,1652,1
2905,25052,3
9613,16185,4
5332,10029,1
10735,34052,4
13453,18395,4
8361,14473,2
3566,41797,1
8786,30269,2
2192,28273,5
2852,24571,5
2705,23285,3
1544,25123,2
12963,8000,5
10290,2097,5
8990,43364,2
3426,29310,2
3073,29313,1
10946,42822,1
13588,17070,4
7626,37052,1
7805,1620,1
12930,23253,4
4808,27038,4
5093,163,4
8556,17016,2
11758,34783,2
7991,32973,4
9127,30509,4
10006,30315,4
8112,18682,3
5655,15893,4
784,36769,3
11428,31359,2
766,7928,3
1266,11919,5
1544,11930,4
4054,22670,1
4355,18746,5
13488,28229,3
3765,34522,5
10639,18323,3
6071,29056,4
6683,25001,1
7440,29301,4
9181,23018,1
692,19447,1
667,7522,4
7192,18475,1
6661,21009,2
13348,12486,2
3743,13141,5
1632,14358,1
3232,98,3
13019,3751,4
8630,24488,4
4761,16995,3
1949,10801,5
12914,9370,4
13266,30934,5
1844,14940,3
7643,27625,2
3962,39962,1
12829,34882,1
5974,13566,3
10278,25644,1
1672,41972,3
4964,26391,1
2521,13490,3
6947,29451,4
11944,33244,1
10498,7240,1
4749,40847,2
7066,29140,4
2917,37712,3
11211,259,3
1993,4136,1
10554,19585,5
782,20075,5
2402,39902,3
2686,15150,1
8861,31853,5
3699,1284,4
1220,1530,3
8533,20096,3
8099,9753,3
10687,26820,1
10226,24218,5
321,15037,4
359,9588,2
740,30931,4
7639,30091,2
3085,26476,1
11059,16088,2
13364,9347,4
12858,41946,5
6394,20216,2
8476,30113,5
9985,18100,2
12423,6451,2
5528,33867,1
2421,11440,1
7075,18059,3
9217,12577,4
11227,22434,2
4673,9128,4
9357,1959,1
5874,28796,1
5158,36599,3
6754,33210,1
6020,37397,3
9623,28277,5
11660,8180,4
554,23953,1
12225,29517,2
1233,21126,3
6457,2455,3
3769,17762,4
4691,9032,3
5756,6143,3
8882,42865,1
518,23384,2
1845,18352,1
4273,15283,3
9736,21779,1
10618,5076,5
12076,7231,1
11097,13948,1
1626,13075,4
4588,34229,5
2818,31656,1
13609,29493,3
11335,32699,1
5922,32763,4
1082,14850,1
3293,5375,5
9372,31601,4
5249,779,2
1587,30463,5
1443,13616,4
12227,42947,4
7251,2045,1
3611,30601,4
9345,9169,2
822,44097,5
437,32175,4
6676,6318,1
13041,26650,4
6843,16790,5
8081,42534,4
12887,12467,4
1941,17863,4
866,21910,4
8865,11094,4
288,34776,2
2489,11191,1
10079,32328,1
12080,26513,5
4473,40584,3
3546,29034,1
12823,10333,5
2895,29539,3
1550,30520,1
6891,21181,1
1420,17544,3
12786,37756,1
4792,30503,5
3923,17088,2
5577,27006,1
1895,5464,5
5007,4649,1
950,35635,3
277,3113,5
5918,15115,3
5097,17741,5
12383,8211,4
12966,12744,5
6227,42093,4
11659,33756,2
4710,13147,5
6669,727,1
5901,1876,2
10973,24996,2
1869,10652,4
13519,36577,4
11736,24307,1
12293,5890,5
4295,34611,3
10283,9102,2
4753,11382,1
7639,40487,4
865,19540,3
13011,11778,5
481,6032,2
13487,28670,4
2561,2283,1
8075,1999,2
5571,9429,1
9437,39833,1
7556,34588,5
13844,17515,2
8661,34889,5
10308,36028,4
10176,34592,3
2337,13468,4
7085,3135,3
10328,1142,4
13786,20385,2
6678,40604,5
101,3268,5
9878,21313,1
2701,5907,5
3368,40380,2
2106,44015,3
12508,11121,5
9750,29505,4
5839,18285,2
11937,4653,4
7928,42139,3
6686,25834,3
10128,18694,3
6363,2170,5
5763,6314,4
8131,31779,4
880,6140,1
2511,25373,5
4249,14974,4
2031,36576,4
2447,1933,2
8651,21301,3
10677,9570,5
7825,4858,1
435,43950,4
9843,8492,3
453,9715,1
1722,30655,5
6721,37773,2
10473,13284,3
6747,19555,4
8112,34920,1
12022,39674,3
12547,18952,4
8943,35429,4
10196,10239,3
1235,24843,5
3725,19596,5
12116,26087,4
7779,25553,4
2055,558,2
977,37530,4
5962,29536,2
5442,7270,3
11775,13528,3
13097,12992,1
6737,36594,1
6163,3803,2
4794,18355,4
9189,33133,3
3214,34632,4
7179,8017,1
13263,15073,3
7837,21827,3
7075,25519,5
10621,24567,2
10814,36189,3
4001,19338,2
10654,12414,5
2094,17612,2
12039,15907,1
7996,27811,3
7632,10504,2
4303,11591,3
1183,3364,1
9859,20621,5
2330,7296,1
11485,41217,4
12929,10434,1
4992,8606,3
3521,24323,4
12331,10208,2
2187,28221,3
5337,8550,2
5871,12450,2
7642,40592,4
6560,10351,4
5504,2952,3
3796,35549,5
12165,2369,1
5884,33205,5
1651,23865,1
10671,16567,2
7746,1590,4
8946,160,2
6650,16238,4
8339,14744,4
1323,5591,2
9322,28279,2
5040,7928,2
13481,7017,4
7853,23546,5
1904,3168,1
11701,14088,1
2532,15276,1
6046,5277,4
7913,37497,1
5833,32403,1
5888,37292,4
9105,43149,3
2319,41158,4
11779,43409,2
8757,39130,5
13311,26587,1
7189,6319,5
12275,33003,5
13507,24428,3
5999,28100,1
9916,5833,5
7217,5843,4
1411,17509,4
9310,22057,3
3469,1520,2
8030,38862,3
5450,9084,1
13419,2258,5
8683,26655,2
13031,20809,3
3988,34774,1
11458,10861,5
1867,20361,4
7265,19605,4
11610,33003,3
1643,7481,1
4308,10294,2
6803,2101,2
12940,28173,5
3268,18200,2
10292,8017,4
4588,31882,3
8183,41347,1
12138,36022,4
7798,12829,3
9026,1402,4
10564,20308,4
11118,11951,1
10438,11868,2
6186,3867,5
5913,30117,5
13047,40993,2
2661,20094,4
13934,33488,3
6611,20964,5
3813,20937,3
7014,27607,1
11862,13768,5
11572,24771,5
5440,31132,5
1197,38012,4
9528,41476,2
5318,24969,5
10134,43616,4
12816,16617,1
5785,7660,2
13800,31227,5
6505,41421,5
6694,13380,4
2089,8683,1
1167,32431,4
11460,32984,4
9879,18991,1
4876,36082,2
10063,16242,5
7858,5940,1
2390,34465,2
10756,19168,5
5336,39189,5
7652,19030,2
10636,1933,3
5180,38406,5
10854,11692,5
11593,8812,1
7983,28400,3
10667,42507,4
11850,42566,1
12962,25852,3
10780,23545,4
5353,41317,1
7281,38871,2
13796,620,3
9083,3643,5
11712,34065,3
8531,2896,2
1024,5367,5
2504,8200,4
12877,23361,3
5253,31313,3
3762,28248,2
6068,41046,4
12519,18853,2
3714,18021,4
3678,15516,2
3421,43179,5
2312,4968,2
3733,43464,3
11124,27237,3
11223,37213,3
4042,18061,5
12392,2788,1
9748,40696,3
6784,2177,1
10939,20209,3
9266,35220,5
9916,40547,1
11717,20059,2
2860,41076,5
10290,17077,3
1200,15418,2
13810,32599,2
12697,9257,1
2008,25793,1
10688,34541,1
2875,12997,3
2966,22627,4
10616,43411,5
794,14535,2
12934,7813,5
4652,2180,2
8370,35949,5
12262,39465,3
12494,16999,4
11852,28153,3
365,35237,1
9677,14271,5
13376,19992,2
3170,16674,1
10767,6615,5
7510,23156,5
675,37727,5
8092,37545,1
3927,25276,5
12183,42634,5
11675,38403,3
8628,22319,4
12346,19494,3
13917,19625,5
6123,27991,2
8592,35518,5
6775,25712,3
300,23737,3
7309,30582,4
11909,27128,5
8596,2709,1
8558,10015,2
12636,8713,1
3817,3552,2
11060,27129,1
12194,22064,4
13517,32921,3
11251,11109,1
5405,42713,3
12162,33873,1
13277,29784,2
4294,20239,3
7460,19457,2
261,33277,1
3759,19874,3
775,18909,1
5355,37126,4
9618,35061,3
3503,41521,4
1998,175,5
2325,37056,1
12207,39875,2
12141,19556,4
6128,41329,3
8329,34676,3
2630,4174,2
10111,4770,5
13141,14212,3
3067,20307,1
1087,40881,3
2335,39195,5
1950,40894,3
8945,35532,3
1576,3732,4
10762,27799,2
3188,17267,1
4163,43527,3
11984,24336,3
11537,37328,4
8255,113,4
3292,26501,3
234,1425,1
8803,10809,4
7084,23621,3
3199,30014,2
4046,16403,5
8153,26050,4
6527,3766,3
8414,38710,5
4950,22932,5
6006,15167,2
4551,29241,2
5788,38557,2
6255,10562,2
13731,25918,1
2083,14257,3
5903,28231,3
10721,22626,1
8494,38402,4
10920,22694,2
11653,28891,5
1613,30950,4
2695,29268,3
10701,16194,5
2944,16195,3
3944,12361,1
7614,29232,1
13849,36964,3
2650,18690,5
7714,9281,3
9464,14297,2
13203,15439,3
4852,2995,5
1366,1814,4
8896,18846,1
6219,41244,1
11215,37165,4
13413,17201,1
7426,83,1
7912,11684,1
2188,12906,1
5032,16754,3
2196,12978,3
1874,7675,5
7389,29039,4
3771,2427,1
8184,2963,4
12143,4139,1
9351,10410,2
10546,28328,1
11091,1135,4
5261,37888,1
6231,21870,5
2441,5040,2
10537,8253,2
11297,17569,3
1646,12626,2
1456,26150,3
5378,7611,5
12044,10627,2
964,31553,3
12108,30472,3
8780,16874,1
7335,43517,3
8119,16679,1
4122,43804,1
10004,27173,1
1968,12856,3
2912,20026,3
5402,41702,2
774,43428,2
5833,5669,4
7792,24418,3
12056,7353,5
7010,31958,5
5065,29494,4
3373,7297,3
13356,11174,2
8407,1638,5
5198,25501,5
2127,35530,4
2163,31175,3
2763,15955,3
5154,12357,1
290,2188,4
2425,26936,2
3701,32829,2
4022,6297,5
13717,2592,5
9858,38890,1
12696,19239,1
7119,39741,1
1124,18979,1
10964,26885,2
181,10705,4
8238,16323,1
11229,27887,5
11957,35469,4
12877,5521,5
4640,41606,4
11376,13918,1
9007,4734,3
7176,41459,2
1768,24691,4
13056,26830,3
12269,3454,4
5878,43371,5
8423,15535,1
3100,36321,3
2337,14666,2
8735,34717,2
13760,5619,5
6996,1921,2
4283,12208,5
10894,5553,5
5022,27965,5
4485,19072,2
911,25397,1
1871,36414,1
6409,32131,5
3795,30699,2
13786,9360,1
2774,33273,1
10833,25964,3
6868,36585,5
4529,37826,1
12811,4995,3
3859,43950,1
9542,23186,3
8670,41154,4
11085,38760,4
3501,25308,4
11159,11313,5
4272,6477,5
8276,2383,4
6174,33403,2
12091,26947,3
3,8398,3
10908,22011,4
6098,2891,2
10953,8027,3
992,9278,1
765,23676,2
6555,13007,1
10242,21640,1
344,34661,5
10140,35623,2
11858,20177,3
5425,24256,4
3707,35387,4
9575,35711,4
2020,35741,2
10735,28048,3
1907,15936,2
9090,490,5
5971,26070,2
2986,36285,5
6505,32822,3
6039,40173,3
10720,1630,4
8936,43308,3
3373,21840,1
3896,18946,2
6634,33626,2
7580,31456,1
478,28454,1
4429,12227,5
13535,31710,5
6206,37020,5
1017,27527,2
3141,33999,4
7742,10007,4
4035,22868,4
255,15900,1
3843,39487,5
4595,25184,3
5805,42501,4
2198,366,3
12837,12392,5
12612,32002,3
1300,21373,3
11634,9868,3
1051,9307,5
10792,37229,3
12733,28303,5
2923,35619,4
10793,4595,3
12890,6645,3
260,43470,2
3599,17376,4
6142,30927,3
7704,21189,5
11483,30858,3
10871,32836,5
5755,4479,3
11017,36290,2
667,39851,1
5490,18643,3
5836,6839,4
7971,3263,3
5091,22165,4
13968,14212,1
2312,24230,1
9324,14027,3
7126,25516,5
3509,571,1
13383,29878,2
1012,10067,1
7077,39105,4
12788,9942,2
7181,21134,2
11762,4530,1
8661,7227,3
301,21260,4
7484,2691,4
3350,5214,5
3115,25381,1
2884,23990,2
9897,24520,4
6150,11414,4
7270,23514,1
4830,29300,3
2661,17360,5
13587,40151,1
12561,42789,2
559,39543,1
7526,33999,5
3900,31086,4
13715,5751,4
13327,35904,2
9211,22419,3
6160,17479,4
2712,25339,4
4240,32102,2
12946,19540,3
8067,26617,4
10390,34711,3
8396,25480,5
956,42044,2
4229,15409,4
8923,17421,4
2243,11350,4
11581,38226,2
12413,23927,3
2106,3374,5
12868,34058,3
6154,19568,4
13852,38231,1
3231,19703,2
5015,30135,2
6419,41186,1
11124,5209,2
11729,8081,2
9581,38863,5
11183,35872,1
4230,31380,2
12089,39893,2
939,14032,1
541,36684,4
3204,17619,4
13733,31481,3
4238,23570,4
281,43838,5
11211,2033,5
5604,37843,5
13399,14524,2
364,1631,4
6234,17959,1
11179,1696,3
3357,1446,4
147,9950,3
7674,29933,2
814,8598,5
6950,18679,1
10340,25806,3
11240,20867,3
7338,29873,3
6013,12101,4
3511,26911,5
11096,19943,4
4715,15917,2
8207,41236,4
11051,337,4
12863,3969,5
3224,38216,2
5945,20589,3
11832,1135,3
4971,24487,5
9807,41116,1
1819,17271,2
11092,33490,1
3452,871,5
6846,34525,2
2923,29867,5
1742,13879,1
11270,6772,1
2856,36204,5
10718,1849,4
2791,34486,1
9354,35555,3
13504,3792,1
3966,34575,4
1599,19693,1
5143,27528,3
13674,25921,3
3398,16062,3
12521,22801,1
10750,41693,5
4019,28055,2
12996,24485,5
286,25075,1
10255,20707,3
10473,23384,1
11507,23667,2
9373,34643,4
10329,9222,3
12356,1052,2
9860,11383,5
7633,32324,2
6415,11940,2
13675,308,2
3454,29649,1
1346,38135,4
1612,6227,2
9665,24424,3
4986,4993,2
12592,32552,1
10781,13256,2
4100,43920,4
3453,23000,5
8823,40447,2
5793,1274,2
1191,9498,4
11368,31955,3
4342,41989,3
10264,19739,1
365,17571,4
12487,32300,2
6400,32727,2
7090,12428,4
4277,2231,1
9556,26178,3
7640,28821,1
13234,5553,4
12084,13781,5
11839,38653,2
344,19310,4
1069,25902,1
9270,25465,2
10404,35441,3
7374,41431,4
185,25106,5
4154,13027,3
11910,10378,1
7442,33777,3
4763,20672,5
6104,34485,5
4633,34029,5
