voter_uid,reviewer_uid,mid,vote
6145,195,2908,0
10324,195,14091,0
3322,197,7103,1
8896,197,10614,0
2,198,3343,1
5,198,3314,1
1,198,3516,0
9552,198,19476,0
3,199,6754,0
12591,199,16184,1
4,199,16076,0
1,199,6720,0
12099,199,4605,0
3,199,6781,1
4813,200,18781,1
5426,200,9420,1
12005,200,6515,1
1,200,3447,1
10231,201,3879,1
2577,201,7997,0
11865,201,15343,0
2,201,18142,1
8650,201,19708,1
5,201,18809,1
3,202,9426,0
1,202,2678,1
13468,202,12349,1
1,202,881,0
12187,202,346,0
3,202,17324,0
3,202,16194,1
7790,202,4864,0
2,203,15150,1
3,203,13354,1
8655,203,4349,1
5,204,11741,1
11112,205,12859,1
13358,205,3257,0
3,205,10935,1
5,206,7831,1
2453,206,4780,0
7719,206,5138,0
8446,206,4586,0
4,206,18741,1
1,207,19903,0
5,207,9091,0
3,207,1437,0
3,207,4631,1
2,207,18543,1
2,207,12820,0
3,207,5866,0
12788,208,13110,1
6852,208,6635,1
3,208,6812,0
9215,208,10955,0
10508,208,948,0
5489,209,5458,1
1,209,1063,0
3,209,6091,1
12608,209,14621,0
1493,209,9993,1
3935,209,11884,1
13404,209,6904,0
3,210,14096,0
1,210,3283,1
4,211,1605,1
1021,211,14167,1
13648,211,5179,0
1,211,9568,1
2,212,13088,1
4,212,2016,0
2660,213,12325,1
9884,213,17550,0
2,213,18652,0
12464,213,3060,0
10132,214,17820,1
8805,214,12486,0
3,214,10409,1
2,214,297,0
4,214,12283,1
13783,214,9283,0
2214,215,17965,1
5164,215,17999,0
3,215,46,1
4,215,15332,1
3,215,10602,1
4181,215,14584,0
2,215,11426,0
3631,215,17778,0
8151,216,10965,0
4426,216,14771,0
12324,216,8345,1
4,216,767,0
5,216,11952,0
8457,216,8558,1
5,217,14751,0
1,218,1236,1
3,218,14411,1
5,218,5900,0
3,219,112,0
7863,219,11904,0
2611,219,9824,1
5,219,13016,0
7701,219,19459,1
3,220,3301,1
4444,220,14152,1
4,220,14099,1
1609,221,10834,0
5,221,16427,1
8748,221,9570,1
12886,221,8143,1
199,221,16981,1
5,222,11533,1
5,222,12522,1
5,222,10266,1
9255,222,9422,0
4,222,7971,1
7439,222,8755,1
3,222,7483,1
6898,223,13955,0
7365,223,11329,1
6770,223,11034,1
2,223,3285,0
3568,223,6532,0
8178,223,7693,0
3,223,8661,0
13564,223,8216,0
4,223,527,1
9301,225,16251,1
2456,225,7122,0
5869,226,9897,1
8862,226,995,0
1,226,2431,1
9848,226,12046,1
5,227,13527,0
4,227,14028,0
1,227,4806,0
8052,227,14612,1
11893,227,13105,0
3,227,19090,0
12295,228,13412,0
3175,228,6027,0
3,228,12251,0
2,228,10157,1
2035,229,15495,0
3002,229,160,0
3,229,11004,1
8135,229,12981,1
1,229,5752,0
3,229,17501,0
3,230,7374,0
5,230,8170,0
1,230,3709,1
5366,230,19633,1
2529,230,14472,0
6058,230,3063,0
5,230,17826,0
6508,230,4191,1
9309,231,19531,1
735,231,14468,1
4,231,10205,0
3,232,19733,1
340,233,19851,0
1,233,1260,1
3,233,19362,1
1,234,7027,0
2,234,19353,0
5,234,6465,1
1,234,12669,0
6045,234,9341,1
3,235,14013,1
9679,235,6049,1
5,235,748,1
2,235,16444,0
6497,235,9720,0
1616,235,3460,1
1993,235,4545,1
4904,236,718,0
5,236,10178,0
10692,236,14406,0
13609,236,19531,1
13596,236,9056,1
10045,237,6836,0
2,237,10227,0
7127,237,10573,1
5,237,16312,1
8465,237,3087,1
4028,237,14469,0
5651,237,2121,0
7991,238,693,1
5,238,14026,0
2,239,1178,1
4,239,284,1
7914,239,4938,1
5,239,8077,0
4,240,15832,0
1,240,11169,0
2,241,19387,1
11765,241,1779,1
3,241,7840,0
4,241,10716,0
6384,242,337,0
1,242,12138,0
5,242,7611,0
1,242,7790,1
3,242,17243,1
6234,242,5536,1
5,243,19856,1
2,243,3949,1
3,243,2166,1
5,243,13465,0
4335,243,3745,1
5,243,7544,1
5,243,13088,1
2676,243,898,1
5265,244,5314,1
1,244,40,1
2,244,3097,0
1400,244,8136,1
2,244,3351,1
10275,244,10298,1
3,245,15034,0
1,246,8775,1
4,246,6881,1
1,246,1609,1
4,247,17694,0
4,247,532,1
1,247,4294,0
2,247,7817,0
1063,247,11721,1
2,248,9063,0
1,248,13925,1
4,248,12582,1
2,249,6043,1
11063,249,2869,1
5,249,15346,1
5,249,17987,0
2,249,16885,0
1,250,2491,1
3,250,809,0
5,250,3622,1
3945,250,13197,1
3,250,3258,1
1,250,12684,1
172,250,7032,0
4,251,2309,0
13523,251,9468,0
1,251,6013,0
2,251,5909,1
1,251,6378,0
2,251,14296,1
5,251,2173,1
10274,251,12650,1
9210,251,17047,1
4275,253,4787,1
2863,253,2746,1
1,254,1390,0
3962,254,18030,1
4,254,13785,1
5,254,13653,1
12277,255,5139,0
10989,255,5483,0
4,255,14994,0
2,255,16206,0
6000,255,17055,1
4,255,9645,0
4,256,8090,0
7375,256,2831,0
8891,256,13927,1
4,256,15987,0
10844,257,900,0
5081,257,13294,0
5557,257,15138,1
4,257,14607,1
3548,257,3660,0
3,257,3876,1
4372,258,18978,1
12033,258,12131,1
1,258,6586,0
6789,258,10238,1
5,258,14993,1
3,258,13920,0
5,258,9243,0
4,258,1822,0
10251,259,3169,1
11563,259,14655,0
1548,259,3221,1
1,260,4140,1
5,261,2038,1
2,261,1153,0
12864,261,10226,1
2,262,8119,1
1,262,6763,1
13568,262,10454,1
7821,262,5501,0
9969,262,7488,0
10557,263,18428,0
2659,263,9063,0
13297,263,2320,0
10238,263,11797,1
4,263,6241,0
3,263,8941,0
949,263,13424,0
2,264,17113,0
1,264,17450,0
1,264,13580,0
1429,264,17890,0
5,264,13360,1
9142,265,8644,0
13813,265,7250,1
5266,265,5437,1
5,265,6094,1
3641,265,2274,1
562,265,19919,1
3855,265,14629,1
4884,266,8874,0
6143,266,3863,1
1449,267,6933,1
12473,267,5982,1
10236,267,9778,1
13851,267,4090,1
5111,268,2592,1
3,268,2659,1
2,269,6670,1
13252,269,7992,1
1,269,18775,1
11185,269,2186,0
6977,270,15125,1
2,270,14761,1
12845,270,965,0
11703,270,1791,0
4,270,6786,1
5,270,17165,0
1370,271,9666,0
1,271,2105,1
4,271,3486,1
3,271,5550,1
3,271,4428,1
2696,271,8877,1
3338,271,14437,0
5,271,8858,0
2,272,12914,1
5,272,590,1
2528,272,8545,1
2,272,16377,0
3,272,3475,0
4,272,2508,0
2,273,1427,1
263,274,7916,0
4,274,10477,0
12597,274,8486,1
2,275,10155,0
1,275,17470,1
12729,275,10440,1
11710,275,17114,0
13513,275,10762,1
5,276,2476,1
1,276,11100,0
1686,276,8763,1
5,277,8846,0
9845,277,8173,1
3631,277,8557,1
12838,277,18397,0
2,277,10557,0
4,278,1202,1
2337,278,18941,0
4,278,1383,1
8791,278,10467,0
6290,278,12631,1
3087,278,11871,1
7619,278,8062,0
4,279,4221,1
3008,279,2962,0
12806,279,43,1
13355,279,7739,0
5,279,7526,0
1,279,18983,0
1,279,7671,1
1,279,8886,0
3,279,12949,0
10908,281,2298,1
5,281,11356,0
4392,282,2714,1
3736,282,18617,0
5,282,6454,1
10619,282,3878,1
1,283,7887,1
4,283,13410,1
5,283,19858,1
1,283,4828,1
5,283,13584,0
4,283,19298,1
13757,284,18995,0
4,284,9945,0
4,284,18980,1
3,284,6666,0
3562,285,15075,0
3,285,9138,1
9190,285,9815,1
11312,285,2000,1
5430,285,3597,1
9944,285,5786,1
2,286,16679,1
1,286,7609,1
12781,286,6421,1
2,286,6672,0
4,286,8405,0
8347,286,16306,0
9129,286,17565,0
4012,286,14534,0
9504,287,5775,0
1,287,16356,1
4,287,13464,1
3,288,970,1
8613,289,12522,0
3,289,10737,1
3,289,2603,1
1,290,18963,1
3,290,364,1
4,290,14942,0
2,290,14924,0
2,290,5525,1
11246,291,3161,1
2,291,6573,0
6067,291,9894,1
9440,291,13540,0
12138,291,18290,0
6697,291,4653,0
3,291,13608,0
3,292,16447,1
2690,292,9008,0
1,292,5306,1
3,292,4921,0
1,292,18042,1
4,293,19484,0
1,293,10076,1
4,293,1711,1
1,293,185,0
5,293,10379,0
1314,293,12845,0
2,293,5698,0
13814,294,5537,0
11770,294,7520,0
4,295,16523,1
4950,295,13054,0
3,295,18618,1
4,295,15838,1
1,296,1670,0
13785,296,9472,0
1,297,19336,0
8338,297,11062,0
2192,297,3524,1
1,297,16629,1
11413,298,7863,1
6308,298,4768,1
2122,298,7455,1
350,298,13633,0
5,298,8057,1
5,298,7344,0
5466,299,11197,0
1929,299,12161,0
1,299,5260,0
10832,299,13211,0
1,299,9557,0
4012,299,18129,1
2,299,4076,1
7940,299,5164,1
829,300,11357,0
5,300,7867,0
11475,300,1497,0
6587,300,2461,0
4,300,3828,1
3,300,7822,0
5,301,3518,0
8878,302,4630,1
3348,302,10389,0
8032,302,13231,0
8309,303,14621,0
3,303,4166,0
5087,303,11123,0
8287,303,4307,1
5,303,6818,1
7655,304,12005,0
11398,304,15142,1
1,304,17037,1
12709,305,15889,0
13196,305,2085,0
2848,305,10212,1
3,305,15374,1
10572,305,4709,1
3,306,19172,0
5658,306,17980,1
12540,306,8221,1
4,306,10473,0
2,306,3022,0
4868,306,10703,0
5884,306,8653,1
4,307,19468,0
2046,307,5514,0
7779,307,19593,0
6007,307,3953,1
3660,307,10901,0
1997,307,10137,0
5,307,17013,1
1,307,7110,1
4,307,1890,1
4,309,17812,1
5,309,15079,1
241,310,17193,0
3626,310,15913,1
2,310,11487,0
8559,310,11640,0
1,311,18669,1
8358,311,4877,0
11586,311,15236,0
460,311,9509,0
8511,311,4312,1
1,311,14592,1
1534,312,1200,1
2866,312,16957,0
3234,312,10963,1
3,312,16853,1
4596,313,13139,1
2255,313,9385,0
3060,313,11043,0
7948,313,6691,1
5,313,12292,1
3,313,3367,1
4886,314,22,0
3,314,16804,0
12996,314,2632,0
715,314,14537,1
5,314,2699,1
328,314,11219,0
974,314,14639,0
12081,314,13573,1
5,315,6985,1
1,315,4958,1
2824,315,6901,0
3169,316,18028,1
5,317,14629,0
10600,317,1713,1
1090,317,9395,0
1,318,10306,1
1049,318,12844,0
10120,318,5455,0
11512,318,4664,0
5,318,8260,1
5,319,13859,1
4,319,2967,1
398,319,12889,1
12173,319,10224,1
2995,319,11384,0
7570,319,15175,1
2608,319,13327,1
4720,320,1543,0
3,320,12979,0
2,320,15102,0
2,320,12666,1
4286,320,17887,0
1,321,1636,1
5,321,17693,1
5102,321,3081,1
6167,321,9516,1
11111,321,9745,0
1,321,12343,1
5,321,17721,0
5922,322,6781,1
419,322,12160,1
3235,323,6,0
4655,323,13629,1
3,323,10806,1
11650,323,177,0
1,324,1307,0
11902,324,8200,1
7958,325,6460,0
3,325,13087,1
3,325,8754,1
13262,325,14088,1
8791,326,6570,1
1497,326,15272,1
12921,326,4212,0
2,326,14945,1
10198,326,11624,0
3,326,1490,0
5,327,12559,1
5637,327,5314,0
6492,327,16149,1
2095,327,1381,1
3,327,4922,1
5,327,10263,1
3039,327,5349,1
1,327,9433,1
2,328,11979,1
2,328,8984,1
2,328,5871,0
9296,328,2376,1
4038,328,9367,1
6032,328,16041,1
4,329,9834,0
3,330,8124,1
2351,330,10199,0
12478,330,11280,1
5,331,10608,0
11427,331,14275,1
5485,331,436,0
9306,331,5571,1
6921,331,3667,0
4067,332,19299,0
1,332,8636,1
2,332,5762,1
8242,333,11503,0
1,333,6330,0
3,333,5287,1
2,333,5120,1
1805,333,3108,0
1,334,604,0
8366,334,12024,0
8884,334,2591,0
10780,334,19908,1
3365,334,4263,0
883,334,19691,1
4770,334,4630,0
3,335,14221,0
12710,335,2731,1
3,335,14650,0
12848,335,4899,1
8347,335,13670,1
8810,335,15634,1
5,335,2582,1
5,335,13315,0
3,335,3527,1
1356,337,17699,1
5920,337,18254,1
1626,338,13046,1
11839,338,19439,1
12648,338,16324,0
11544,338,5139,1
4801,339,8872,0
5919,339,931,1
130,339,1051,0
11079,339,15254,0
8900,339,12309,1
301,339,13583,1
4,340,5354,0
349,340,13175,1
5,340,19550,1
1,340,16519,0
4,341,683,0
10413,341,13613,0
1,341,16761,0
10245,341,11023,1
5235,341,19371,1
5,341,2694,0
4559,342,19730,0
1,342,12049,0
4,342,2112,1
4780,342,18871,1
2933,342,9874,0
4,342,19137,1
3,342,637,1
2,342,10180,0
2,343,18935,1
5,343,4769,0
3511,343,2274,0
3,344,1659,1
2,345,828,1
829,345,11630,1
1,345,4686,1
7469,346,9388,1
12560,346,9388,0
4,346,10993,0
5,346,9664,0
4,346,8466,1
13236,347,5700,1
7079,347,11657,1
1655,347,6788,0
5,347,17184,1
2989,347,8994,1
3,347,10669,0
5,347,4624,1
3,348,9852,0
3,348,17191,1
1608,348,7077,0
3,348,16911,1
9819,348,9966,1
801,349,2987,1
4668,349,11979,1
11155,349,2790,1
2,349,6032,0
2,349,19899,1
9090,349,6058,1
6637,349,11981,1
3124,350,9634,0
8714,350,16455,0
5,351,12320,0
4683,351,12406,1
5,351,6502,0
1,351,7274,1
5,352,19384,0
7877,352,2295,0
3454,353,18625,0
4,353,11890,0
10874,353,2445,0
5474,353,8125,0
3,354,17086,1
7613,354,3522,1
955,354,15366,1
7978,354,9250,0
11772,354,1732,1
2,354,14134,0
4921,355,12167,0
2,355,2580,0
1,355,19032,0
1007,355,4154,1
3,355,8374,0
5,355,10614,1
12140,355,2968,1
5,355,17641,0
10265,356,7942,0
5,356,16717,0
4,356,8396,0
5,356,18615,1
1,356,11609,1
7285,356,5071,0
7017,357,10407,0
2,358,14816,1
2,358,10878,0
5,358,2921,0
5,359,1295,1
3,359,8311,1
1594,359,11513,1
2,359,17418,1
3,359,1889,1
7319,360,12747,0
2053,360,4468,1
3,360,4151,0
2,361,11007,1
8278,361,1267,0
8229,361,16828,1
4,361,17305,0
13020,361,6081,1
5,362,13868,1
4,362,5200,1
13627,362,15909,1
5,362,7474,0
2,362,9577,0
13322,362,15127,0
3,362,11667,0
12451,363,5646,1
7758,363,17960,1
1,363,6136,0
1,363,14941,0
13078,363,5967,0
1938,363,18270,1
5,363,9622,0
3,363,8517,1
5964,363,8030,1
4,365,3550,1
4593,365,13789,0
13691,366,8213,1
3917,366,4141,1
3,366,8308,0
2220,366,11479,1
3,367,12630,1
5,367,15549,0
1,367,10256,1
2,367,11938,0
1,367,4823,0
5,367,8581,0
3,368,13405,0
4,368,13540,1
5587,368,1751,0
4,368,7083,0
5,369,280,0
5155,369,3446,0
10547,369,14920,1
12859,369,14856,1
4,369,9727,0
3,369,13708,1
11952,370,12436,0
5,370,9842,1
12922,370,3696,1
2,370,11029,0
13044,370,5029,1
3,370,3967,1
3,370,10640,0
4,370,8648,1
2437,371,1314,1
11083,371,18823,1
9727,371,10285,0
9327,372,3761,1
8596,373,14882,0
5106,373,2253,1
6235,373,11921,0
4,374,1069,0
2,374,6890,0
7432,374,13203,1
2,374,11981,0
5,374,9215,1
1,375,19499,1
5,375,13334,1
1,375,10146,0
3607,375,13449,0
9002,375,8809,0
3510,375,2447,1
5,375,3220,1
5,376,12178,0
5,376,5370,0
3170,376,3987,1
10254,376,5060,1
3,376,13515,0
12724,377,10488,0
1,377,4091,1
8615,377,15479,1
6736,377,13464,0
9712,377,8735,0
2049,377,6049,1
1,377,19343,1
3,378,6361,0
11335,378,14960,1
7084,379,16397,1
5,379,12836,1
4561,379,11851,0
5961,379,5340,0
4,380,7463,1
5148,380,1939,1
2141,381,18280,0
13863,381,8879,1
4171,381,4854,1
5,381,6182,1
4,382,12595,1
2,382,554,0
5,382,1216,1
3900,382,8635,0
1,382,7353,1
1,382,8388,1
4,383,1383,1
4013,383,2656,0
2,383,2452,1
5,383,18733,1
443,383,523,0
1702,383,3912,1
10950,383,16328,1
3672,383,17839,1
1,384,2914,0
2098,384,15009,0
2,384,3825,0
10620,384,16008,0
3,384,5338,1
4,384,9093,0
1,385,6265,0
5,386,765,0
5,386,9371,1
1,386,7071,1
3,387,10712,1
4,387,15308,1
13466,387,4357,0
2,387,6776,1
242,387,2819,1
2,388,16468,0
4,388,19367,0
4,388,3220,0
2,389,1876,1
5,389,325,0
4262,389,16053,0
11931,389,10033,1
2673,389,1145,1
4,390,1993,1
1,390,4265,0
11700,390,1860,0
3,390,4474,0
1,390,8310,1
1,390,10294,1
2293,390,5233,0
1383,391,19096,1
8986,391,11826,1
4,391,10790,1
4073,391,16487,0
4,391,19210,1
1182,391,9015,1
1,391,7059,0
2437,391,18765,1
8516,391,9417,1
4,393,11262,1
7182,393,13946,1
634,394,3300,0
5,394,12523,0
1,394,501,1
5,394,19184,1
4,395,16014,0
1,395,12778,1
3,395,120,0
8869,395,6829,0
13095,395,9034,1
3,395,5175,1
1,396,18196,0
6282,396,15586,1
1,396,13224,0
1,396,3103,0
2,397,10450,1
3,397,15765,1
5,397,6972,1
10950,397,9721,1
1086,397,14280,0
3,397,956,1
6373,398,2547,1
13583,398,13546,1
5289,398,7027,1
4,398,3428,0
9270,398,2634,0
11077,398,13004,0
9198,398,14296,0
4,398,18161,1
12153,399,3786,0
5305,399,5252,1
3,399,7102,1
1,400,17055,0
2,401,2106,1
2,401,19454,0
5526,401,15612,0
7953,402,767,1
6007,402,13039,0
6117,402,17557,1
1,402,11116,1
8277,402,1717,0
9200,403,19462,0
4,403,11986,0
3,403,9178,0
5,403,2973,1
1,403,922,0
5,403,17403,1
775,403,8170,1
1,404,17773,1
3,404,1091,0
3861,404,19535,0
5364,404,5972,0
10097,404,18845,1
3,405,19099,0
4511,405,13901,1
2,405,12031,0
5,405,14066,0
5838,405,18136,1
3,405,16650,0
2,405,8256,1
1,406,3054,1
1,406,2493,0
4,407,4489,1
12341,407,10245,1
10293,407,2422,0
3559,407,8022,1
7005,408,12083,0
12626,408,7907,0
5,409,12106,1
10497,409,1604,0
3522,409,12826,1
5,409,12197,1
2981,410,8539,0
7563,410,5979,0
9535,410,10609,0
4,410,16412,1
12550,410,8832,1
6371,410,16745,1
12164,411,9381,0
10202,411,10705,0
2,411,5990,1
8325,411,13738,0
191,411,3700,1
11414,411,498,1
2,411,11433,1
1097,411,11802,0
7153,412,19066,0
2,412,12907,0
4,412,5082,1
10336,412,5463,0
3,412,8482,0
3,412,7078,0
819,413,12991,0
602,414,13863,0
4,414,15197,0
6630,414,12171,1
4,415,9236,0
7969,415,7418,0
2,415,16449,0
9092,415,5434,0
12237,415,837,1
1,416,2921,1
3187,416,1808,0
8116,416,5931,0
1645,417,15811,1
4,417,549,1
3,417,19386,1
1,417,3002,0
743,417,14125,0
5,418,7848,0
10161,418,7489,0
3,418,14674,1
10295,418,8367,1
10388,418,12605,1
4306,418,4581,0
7033,418,1773,0
10392,419,13538,1
13552,419,17977,1
13039,419,12868,1
11475,419,3391,1
8023,419,18427,0
3,419,17684,1
3,419,14603,1
13299,419,2378,1
6764,419,2897,0
4,421,16346,0
12306,421,8547,1
4257,422,2576,1
11322,422,12830,0
2900,422,11600,1
5,422,18998,1
7547,423,17506,1
737,423,19318,0
3,423,2965,0
5765,423,19504,1
1690,423,5017,1
7741,423,2319,0
9311,424,7302,1
8463,424,8328,1
11801,424,17141,0
7993,424,12935,0
3,425,19179,1
1,425,15952,1
7462,425,7288,1
3864,425,2572,1
4,425,11200,0
3161,425,19542,1
4143,426,1571,1
2,426,19468,0
5,426,19074,0
5111,426,14390,1
2,426,14406,1
2,426,12441,0
6653,426,15858,1
2014,426,4060,1
6014,427,11464,0
7195,427,16659,0
1,427,9782,0
1898,428,9011,1
