uid,mid
3422,8564
3489,17559
8414,33933
10352,42244
1911,26568
5949,32377
6804,21923
664,12389
5537,29333
1990,23496
2828,8435
3958,20992
13008,27473
7550,40031
4109,26850
11188,1542
1781,2766
3104,43075
7901,37260
249,29284
10824,35852
1504,34626
12344,770
879,17807
11462,24983
8191,2973
7655,18257
12628,38368
7438,18654
7301,38044
5691,21134
5896,39340
2901,25758
632,37841
6081,42400
1936,44014
13303,32070
10742,14707
8811,38232
7066,27910
5720,40219
3045,11096
8087,20344
12418,26470
4875,1314
12402,7848
2463,9167
12134,9931
6750,3286
8268,35864
4590,16705
10988,18706
9258,556
6097,21324
6709,5433
9453,1387
13498,44008
13216,10620
6014,6855
11061,42965
10269,7638
948,21226
4241,26740
12023,10619
3864,36562
669,7374
11548,35282
1243,20188
6388,2328
6552,32392
7604,41578
10002,18550
4872,39221
13220,7643
3949,14436
13460,33761
2586,38193
10947,4382
3219,31048
5786,19559
3146,30783
5,4783
5317,25882
5410,40229
4964,29410
971,19463
9278,2984
7122,31934
4237,2524
7061,9678
7174,10293
8082,15090
6894,4582
12651,11908
4560,5610
730,22937
13512,42726
1788,33989
9969,29507
4847,13164
8406,12538
925,22420
11962,42579
5272,9456
9656,9064
9027,835
8403,32215
6044,27399
2933,34493
1245,2414
7655,9506
2026,37267
9299,2106
1759,2569
1176,42099
13016,37680
607,33561
11136,14196
13502,15763
7900,41295
5332,15899
654,21578
3767,1215
12870,20804
7499,23699
13279,32981
3438,1659
13595,12271
4165,37793
13086,22302
9757,5142
675,38757
7099,13778
10581,38347
8225,29442
3242,28470
4344,3846
1774,23291
3601,30700
13379,33147
7348,3294
2839,16609
11643,738
12332,16620
9530,12471
5283,22373
11405,16118
13391,14780
2236,29295
13340,21631
11346,40040
12835,12179
13610,19936
11246,22785
10552,23028
6712,31009
2574,1824
6579,6853
12933,13073
9922,11134
13695,15112
7516,32313
10044,24162
4547,39288
10357,1778
5976,24015
6760,14773
2944,18162
11538,42265
7485,7491
7000,41662
12017,24503
2584,35758
9918,41112
11103,32738
9302,17710
9635,8999
4706,28907
11374,35491
2934,4657
8622,36902
5973,25736
12879,29093
9182,1243
6398,41308
11833,1832
946,28512
1782,7247
10218,31468
6928,18303
12033,3233
2522,36527
9855,38766
4095,10973
5147,34593
2833,10684
11785,23665
5827,36829
5482,33173
8097,18106
5631,21701
13574,11018
4008,36614
1161,20595
7818,11385
4475,30349
10731,16449
4202,9492
5821,13113
3468,31022
12256,969
10833,369
9040,8425
2177,35011
11061,35852
11183,25497
12472,30937
9062,13323
6843,1470
9912,37494
11356,4260
512,36391
8401,10293
8903,26842
4069,28366
3362,17208
920,36200
7763,22913
5840,36920
9803,36982
11433,15236
507,41758
7638,33548
7682,43811
823,19277
11635,31924
7259,5535
11095,26470
8962,36075
11752,35671
6083,32564
2599,36487
3062,22
2881,34269
1217,41803
4174,15800
1666,26337
5168,3642
5199,21597
2238,32960
9974,13307
6901,8588
7452,31360
12419,21499
12138,4663
3535,37095
3861,41834
5739,27198
10613,20720
3009,24666
5063,43240
6012,25033
13679,12642
12239,41965
8882,30029
823,15652
1460,8537
4587,6274
793,6285
7281,25693
490,8818
7495,28956
8177,26556
4266,20379
4455,41183
2597,17128
10106,17953
812,11540
2877,14693
5041,18121
11864,13335
5581,28616
8430,7904
5075,28528
11427,15630
7361,17741
4586,33783
7287,26709
11225,10861
5683,17439
7746,1765
3731,6010
11509,20843
1262,42373
10903,33436
1157,3371
2251,38745
7955,20455
5256,41382
5400,38368
11269,3651
6636,25709
11581,42663
4824,3191
9443,8790
7425,32126
5429,33160
9019,17460
4425,35419
8105,18769
6896,15564
4941,27886
6826,21886
7336,6896
1048,23959
2634,1532
7151,5482
11611,23933
11588,21361
1637,43643
5388,24830
1286,19933
6408,38932
13799,38033
11280,15891
7033,18808
2776,11768
9504,8072
1635,26150
6267,15541
11523,35677
5636,4713
10673,26202
12006,19900
13902,19788
9675,20983
10143,22607
1460,10151
8786,20394
9967,37260
8797,27751
7589,8594
4407,17359
1419,16608
9442,37382
10114,24812
3236,28075
7514,20596
3581,26854
1905,8184
6683,20662
3018,41170
5396,36496
10501,13704
4281,30816
9000,29566
6072,22943
11889,42987
12421,33162
11809,41804
4363,9717
4843,41564
4944,33350
9530,42900
3804,133
9368,3386
6714,36539
8742,35037
13211,33744
9181,40374
9671,7214
10245,26120
3167,2836
6625,2739
10283,42318
12572,4135
599,25893
1309,39602
1626,8354
11727,15691
7671,1910
918,25704
1023,14497
5124,12063
13523,9851
228,27702
2200,34732
3722,5154
13067,10482
6411,33735
1947,890
5005,19446
13555,6462
4270,38935
11220,28206
11571,23352
12585,16007
11098,10941
5443,11259
9537,24486
13938,23764
11799,40049
6285,1068
1351,20608
3471,43884
5740,9019
13549,15188
3581,37376
3679,3986
9683,43053
11924,19564
8148,37307
3425,18609
2798,39140
8757,1727
8215,26583
7209,5792
13418,8459
1448,17222
11070,20969
11118,17071
5158,27938
8644,41832
11306,42934
7670,37416
762,42771
4563,20803
13414,43602
9432,10421
13754,6643
6914,19776
12472,28755
3814,43311
2840,4358
7578,21264
634,13202
11066,2740
5059,13232
12423,42279
4930,42496
3870,21169
6137,32625
7197,10636
7407,9965
5415,27786
13311,29511
6227,17262
7986,19255
10795,11393
2874,12337
1019,11940
11243,27413
1676,16677
7809,9844
3419,25113
12772,30599
5808,35455
7121,33002
350,27229
4899,14430
1933,18759
10231,2273
104,17351
2966,22539
9084,3401
7504,15372
7513,37311
13259,36292
5219,18148
1110,3292
10111,35257
12756,10893
11423,34327
2288,37459
8510,38890
13645,37208
13235,40289
7544,25996
4253,5410
13623,42439
4020,29824
7065,7870
7033,35725
4879,22402
13867,25959
4095,10767
1728,19769
10439,30795
7361,26146
8797,10087
479,43204
499,26443
8270,16413
12900,25597
12858,10256
2095,42407
11043,40525
9955,23333
6084,15765
1555,27564
7285,22140
7235,36371
3731,5063
11011,7245
4904,6373
4273,39874
13551,19966
7340,16957
6695,40474
6092,13895
2143,33383
12433,4051
4875,16710
811,15723
8034,15211
5660,36546
4639,38675
5071,34490
12870,17734
10110,20081
10368,36665
3514,39710
7334,38015
9861,41153
344,27251
8960,20230
12820,16476
10452,43877
865,29012
12249,8129
4458,32451
10271,18898
1172,8169
8522,6862
8675,41759
11324,13751
7996,16989
4953,2980
10135,23525
6639,7066
4814,37685
2909,23185
3469,33366
11565,23705
1347,5623
7091,18262
12268,28420
4768,34468
10409,25606
4625,29172
10437,22165
13146,13797
6976,36855
7044,31321
9616,666
6336,32695
8112,24231
7036,22996
9645,26785
7097,14606
10769,17464
12829,8420
10304,33838
1426,5264
12631,40720
4356,34132
7743,37277
9645,34524
5210,520
4732,31107
4949,10515
3272,7234
7825,1103
10415,598
2275,19658
4987,38550
7138,43566
232,6257
6422,43149
3567,29402
5544,41549
2927,6555
3674,12665
6066,42368
11318,24387
4259,4847
10880,26206
8036,25571
5664,30256
4395,21183
6364,39374
3913,43020
12425,16044
12110,35755
12329,401
2001,19240
6349,10417
855,3413
7925,16441
7445,24407
6333,1876
6185,37067
11732,36537
6126,5753
7782,21218
9186,12490
12742,1354
11234,26987
10006,21372
8567,39366
11553,14692
1982,4312
3361,10795
761,2935
4283,16407
766,10395
10256,26873
12443,41709
6872,41094
11409,20801
7665,43398
8051,37910
5219,21353
5680,36440
12986,28313
4872,40061
3995,15439
6772,23386
13811,18483
7076,32472
6471,43878
618,41213
2488,13027
11404,42090
2688,19649
10255,5436
13484,8494
10040,6692
7335,2764
7032,20390
10583,31499
6285,36010
5335,35826
10548,16935
10573,5575
13462,38180
6588,1588
12489,42783
2973,38689
4238,11689
3739,4410
4527,5784
13432,33481
13663,26752
10342,38175
13007,12042
1371,23228
5906,35202
11053,36070
397,16655
733,26371
150,29483
13108,11587
8812,5323
12856,13933
12410,29300
8245,25180
2220,5258
11574,9778
459,11250
6904,21391
4716,20370
13718,12882
13265,9588
5221,28265
5217,8792
1741,41474
1013,22376
2892,22612
6601,42027
5965,7834
1626,15755
8267,42049
3440,12578
7768,31096
7044,21249
6977,35283
2001,36738
3181,31892
13598,24125
8247,4567
5845,2197
12867,31116
10362,19860
9000,11346
1157,34078
2071,865
1391,12056
13637,38158
6324,19748
7736,11979
220,24600
4727,35772
6383,17616
3691,40728
11570,39350
6263,29378
9890,30032
7656,42734
8353,11761
327,33715
10443,25763
9456,34333
10445,40101
6466,4945
4301,13878
9780,29991
13005,42908
8038,34077
12294,3259
6986,31630
6833,37580
2567,22959
10947,39466
13924,20318
2834,15776
5496,11040
1856,29098
11801,34208
10262,22554
10649,56
971,23162
3907,32874
11735,35970
9599,15185
1555,670
10996,12664
10611,25319
1828,33735
1700,16692
5717,18523
6862,11657
10850,15894
11708,16494
7081,3633
3612,30337
10684,23113
3830,38453
11157,13267
9447,16941
13141,24004
8529,32873
2685,34816
1158,30870
4419,17258
10882,16683
9206,19623
5437,30409
100,8838
7584,15408
8754,29310
12457,6383
8290,27655
6061,18896
8932,33552
212,21377
11215,371
2646,487
13329,23763
5655,26614
4384,3197
941,42321
11049,29402
13798,35030
13841,10814
6411,41917
6564,8573
13816,28226
9428,32276
10097,6844
9010,1106
319,43210
12914,31640
4303,42488
6378,18052
12941,28709
2143,35460
6328,11865
13036,34765
12702,1426
9860,6850
1923,36016
2012,18977
4329,34259
7083,31114
2121,15402
3839,12885
9188,18825
13072,37564
10326,34415
104,16143
355,5957
6133,13929
9960,9722
2314,11158
7136,35136
2155,6697
5382,27863
12000,5191
1714,4664
8607,39831
1437,4332
10663,28550
2927,16247
2919,25762
2089,3263
11245,7037
10325,22323
3585,19132
11964,4678
9405,7973
8079,15330
1699,37033
12314,35902
330,20494
10256,18596
12716,21924
2003,9736
8662,34458
3625,42532
5351,7728
2730,7765
8257,27600
9857,819
2655,37290
5510,33893
3486,5661
11252,29522
11930,38410
6046,34471
5563,18386
8102,23297
12137,23617
9159,26383
9539,11140
6508,32061
7036,22420
9601,27786
4915,15703
2993,29218
7641,39292
172,12398
7672,40880
10908,35170
4322,26941
695,42250
1160,28342
2231,10068
10736,13825
10630,13445
10150,33308
9605,10975
12998,38384
11884,29291
7038,16017
12049,32113
7899,28514
6660,2957
6079,8078
5237,36491
4765,37856
2285,43107
9279,34939
2807,36160
2287,39711
1343,18001
11341,13807
12885,12810
4128,14856
2092,41877
13203,29389
3782,6459
10438,35525
4113,6854
11397,40478
2065,32223
8484,18321
5860,28619
10913,17353
1297,7298
8230,27941
5662,3204
7762,39268
5837,37942
5883,17274
5503,25369
10322,11651
8764,30985
9541,41942
1017,7383
514,802
2299,41003
10884,19734
1215,9970
11355,35970
1045,16734
2431,32450
5468,26144
2338,25706
2740,28364
10144,30721
4707,9973
1960,33352
11199,36146
13524,22413
11140,24079
6123,22581
7421,14856
13197,36170
6466,19570
6454,25739
7958,6773
3323,24875
3814,19732
11515,10132
2466,789
2986,16185
3851,30898
4320,2890
189,9570
2769,21658
6993,10142
10242,19657
888,21619
10121,11935
2211,42538
5874,23287
12393,7613
11612,32070
11206,16206
10884,27332
11492,13935
13094,10096
6261,25959
909,37009
440,18707
10636,43517
8649,38067
2538,31473
10552,34630
10475,23005
7878,20432
11292,40089
11568,38016
1079,34503
7885,31386
9926,4664
922,38678
11017,12819
3626,22687
7242,23978
4546,40932
13730,18455
11222,13359
3971,6669
6054,40770
221,9922
3272,34960
11343,32329
8890,8860
11736,23971
6119,8873
5204,19231
4241,26709
7291,18848
11820,27106
11654,4923
3463,4393
3892,13542
13813,19552
1887,19382
11148,35996
5827,22949
3571,26729
3512,2025
1740,16714
9492,2487
3125,1156
2967,10083
3167,37246
1949,18570
4116,7087
4757,2318
6609,36390
5126,4492
2803,15917
11789,15249
7207,2512
9619,24227
8488,25026
3602,42315
6551,7849
4307,14275
13319,30959
8065,35234
8861,16305
631,11295
1720,26426
10409,3176
8068,40618
8672,27776
8165,9426
11568,26014
8761,27929
8704,41213
6585,8211
3695,2760
6878,16092
13321,3
9241,40959
5066,30161
13145,20708
13585,15249
1300,5774
13046,12787
12407,15038
2085,1886
5394,39829
13092,16332
3667,40613
6070,22496
13567,13451
6415,9492
4475,9269
12445,27758
13385,41908
4852,6792
2808,39940
10490,28315
5683,28584
11407,21551
1061,94
5039,35756
13490,9968
3527,16219
783,43221
4338,8628
3796,4948
8628,39420
5277,23179
10011,28877
13766,22909
6799,35913
4517,19972
10079,32585
1854,8960
11499,28262
9276,41066
10549,39463
2577,15836
8153,19258
1046,3347
9009,30808
11676,30419
2174,11341
2812,33013
10619,35394
11663,36618
4619,9598
9787,25558
8572,7738
7406,41102
11782,17277
7281,7311
2160,35168
863,37409
5585,19345
11344,10392
12576,10893
6740,11198
5178,13051
5327,36143
10448,41616
11580,43729
5892,13536
9233,41003
5021,43272
6111,5123
3430,9853
12437,5388
8133,31760
13182,40400
4968,39995
1576,37877
10188,34879
6400,33726
3546,7147
12351,561
149,1313
7738,18206
10110,11596
13584,22031
3557,21330
11366,38143
927,2652
12695,10007
11093,42702
6049,35646
10777,21967
8614,27847
7316,21775
3405,4084
3395,33514
6817,8750
7313,30784
7871,17326
3770,18681
3149,17324
13670,22685
8065,34494
2238,12214
5302,31832
9598,42297
11478,27714
2633,41622
12270,7188
4642,32801
5714,32584
8451,14409
12564,22370
6707,3415
5100,19511
917,12121
1038,34312
6245,33040
4520,5296
9061,20461
2293,14964
11443,11581
4337,22287
3790,27329
3547,19094
9201,21606
13954,42706
1403,6723
4272,40970
8800,36913
10207,38375
6947,6767
6130,15929
3689,21275
4936,34417
1504,20613
13089,34899
4661,29048
11477,43357
4586,37135
1650,1507
899,15223
13316,12364
1374,19614
13287,30629
13459,42627
7178,4137
6081,11162
5714,35458
11864,23575
11188,26903
1482,2811
13686,11664
12975,6153
11048,13
2774,11163
2201,22323
8268,8000
4318,7220
4926,5329
2863,3622
12240,24257
3281,11315
11567,653
2668,16183
12903,41581
2694,36559
4128,15660
8523,34414
1399,10436
11717,28068
7463,22259
5972,28288
1396,3689
2636,7690
2146,1380
6904,37012
8728,43006
10363,27625
11467,25965
10944,22892
12085,38380
9091,12517
169,13887
7076,20308
10462,24844
12211,5913
10376,21515
5570,21824
8327,28798
10368,6450
7279,1726
5891,15871
7236,9305
13784,7523
12970,13664
1717,4785
8136,9473
436,28953
12339,10056
2169,29509
8087,12677
740,25193
13113,24723
4358,7447
8896,4726
6231,20062
8741,22672
11240,1410
9995,8206
11759,16366
3064,257
3123,15705
7738,29903
13084,35759
2776,1196
3724,34013
4320,11416
3162,39535
6036,21687
1481,11663
12063,28744
2961,32162
4883,43082
11650,2403
5585,13276
13176,28183
4219,14916
8435,910
3945,373
5510,22621
10345,34113
7774,8516
6914,2432
9423,21055
8473,32625
11141,10586
9537,31959
1428,1696
12480,34676
4245,33788
6861,1404
2806,17811
4948,8856
12788,38637
6307,10840
7574,11
5503,39099
10072,9231
7810,40233
9037,35772
1857,29257
12207,25652
7196,32384
7769,39964
12747,13663
6217,13740
576,1790
248,19421
7712,23762
1619,40367
2215,37607
2438,38641
5231,37068
5855,17358
1335,39852
155,38263
9225,11318
1734,21535
6280,25735
12407,35898
13445,32873
8065,40202
12513,7690
11856,3568
1347,20733
4298,20775
8458,23196
9745,37413
3644,44099
4292,22258
7104,4395
6762,36303
2417,22229
9923,12389
11402,11320
4185,6476
7055,31556
3099,18159
5231,14729
424,29546
3735,31101
12181,16151
13903,33215
8077,32877
4202,3240
1436,38700
11950,36822
8502,30616
433,13747
5990,20922
12349,22746
2803,1246
11439,24854
1845,27633
5699,12857
2516,5106
7214,35691
8996,2514
5414,2802
6704,32346
13495,13896
5482,39750
12013,8222
11929,6039
4088,32032
8775,15083
8139,14649
13944,365
8333,34569
11646,14111
4968,5959
13422,9097
4901,7437
8687,21178
12277,26755
6008,24545
7219,12639
3252,180
12632,3874
485,17571
12140,17158
4525,4461
8915,353
7781,21587
4327,5345
11217,4508
8102,37599
1616,43989
9113,32886
13109,16866
1595,37056
6832,27214
3389,4478
5180,6534
2514,23397
9221,12756
3137,866
4592,11174
1561,38098
3656,33372
709,38525
5487,11255
7788,4019
9469,5193
3318,2016
7233,42619
2762,3381
8075,28344
13504,3771
225,5830
13577,34382
3078,15546
4373,18264
7221,38141
12746,43307
8325,25676
7789,25363
12246,149
6735,1755
11874,26746
5563,7379
1015,20141
7659,9372
11056,27000
12398,12780
8779,31076
13832,30698
9418,9796
11808,38461
8597,4219
9025,37572
3336,11673
640,31043
10748,35951
4441,11010
13141,19545
10091,29382
11499,25288
13680,2587
3905,2649
7301,40082
9100,18102
12411,21693
13340,7408
2127,17255
12859,15235
12700,22212
8531,29481
13130,24847
13079,42504
366,15322
3606,12647
1866,22118
9549,4894
10711,9477
4456,17271
7164,21703
1015,4383
8285,1786
3525,11736
4530,30178
12771,30713
10911,16680
3855,43014
2145,35366
11787,17065
1260,30564
8662,33093
2128,26868
6562,33755
240,19503
4483,761
7927,24143
8718,41997
8991,17291
8268,5500
2727,365
4589,19798
8151,40796
7606,32536
9250,16106
10521,7940
10328,13937
1923,42030
10395,15864
12355,12562
9225,10448
4900,30625
901,12412
9750,19466
7581,38217
13708,19643
11702,31263
8297,30364
13468,2108
1963,7929
7973,19318
13154,25018
5785,13529
7922,13314
5524,1560
9171,15168
3659,15344
1484,38599
11688,7524
7369,28440
12608,15525
919,13286
2360,10974
1031,22695
11087,35775
10840,4303
6497,22392
3940,4612
1891,9373
8340,24313
7309,14081
821,15083
2831,42862
13927,30678
11457,20875
13426,8379
2008,1598
9883,11601
10201,3748
7752,13880
2561,13018
11024,24816
9136,18965
10396,28813
7407,40201
8289,24715
12542,18891
8001,4726
12356,43206
4971,20685
7382,26326
987,32543
10317,13093
11447,30383
10663,39771
4770,25458
2028,6132
1475,25216
11968,12613
1385,37306
1735,13092
13334,35104
7585,37090
10969,29760
9274,560
1313,714
5111,37362
6976,15185
9642,15262
12552,20373
12903,32141
13869,33025
12422,32545
9847,38
9705,43033
1049,12698
9270,41421
7386,31708
1069,26017
4228,34601
5465,23985
4067,5168
5390,433
9200,4152
12836,6412
8323,30789
11674,26624
9998,22105
3115,257
9082,33440
4131,33258
5163,39658
12975,18067
5328,32747
11398,2461
9611,37298
412,34744
2491,3217
2257,14268
2840,9582
13729,4516
1686,22077
11398,9777
6278,21948
4025,2964
10283,6787
1407,13867
9572,38969
4406,32306
7409,17361
2478,40114
3334,32814
2234,1194
1799,4513
7019,22667
457,16631
2699,8984
10003,637
13576,3776
12738,2422
4381,13026
3833,9281
2564,36952
4890,11352
6245,38092
651,30172
9112,3645
2903,16143
5245,7774
12808,28467
7656,10779
2814,12502
6601,2109
11795,29370
3836,36383
9861,25819
4093,10252
10416,23342
2498,11679
11616,14368
8875,29673
10299,4333
9834,12003
389,20285
10272,15701
5438,13770
13931,29319
11404,24324
9977,27611
1231,6964
13639,7839
2159,12244
12742,27940
7104,1846
13082,16767
4638,36881
13057,12781
1102,42857
5540,1510
10801,23958
11813,34347
12968,17264
5447,26149
9534,31534
13376,42609
12189,12932
1530,1360
666,24533
2477,20345
9532,4243
10371,20602
5179,19117
372,35478
13602,30783
7154,18881
1982,3500
12866,31588
1360,26021
7586,8081
13113,23208
1135,33958
9204,13909
8168,30653
9172,30345
2847,25035
8308,25789
4664,12752
11478,33794
6448,32840
2448,38315
7532,35454
4894,9386
781,18233
8571,43345
4906,34791
12034,15832
9049,20126
5441,17683
5138,36871
2523,17289
10794,35795
5221,39478
8315,24406
9193,38738
11391,2621
7908,35415
12286,37634
11281,35058
10793,40139
12952,13855
11896,9678
11840,44112
9740,24075
13120,17825
3451,766
8802,31616
7361,36861
6635,12976
133,9342
3437,28142
9173,12335
2939,15836
10491,26549
1193,35435
7122,25040
1918,32531
11488,38737
13356,40410
3250,18566
3188,9835
11817,36657
5753,841
3873,13874
2991,31569
11740,10847
11798,5900
1083,20503
4211,566
6541,38774
13251,41925
12313,43243
4274,9188
1777,7227
13793,42148
5721,38659
7519,4312
12952,41617
12250,25690
1028,6084
3693,12599
11520,16941
2075,26881
10142,2581
3151,42322
9079,9387
886,19523
10096,26225
5485,14636
6730,672
2350,33546
3705,26856
1702,35791
5274,14261
6668,1075
1079,42677
5871,9476
3771,12879
3475,15121
8806,23148
8877,1987
1145,43594
3728,32431
6437,41962
12731,17431
1054,2177
6154,18723
8979,42816
5750,18618
12186,27116
4568,37377
3041,11907
7820,40003
621,6611
3319,43293
10540,13412
11631,9181
12252,10074
13642,37252
1970,30961
1858,5902
8807,38898
5892,43184
9303,4483
7194,42455
5204,25429
6739,7401
211,39575
2528,43285
5558,7397
678,7339
8681,42719
13470,12501
3883,11546
11055,5242
4262,23779
12147,22822
8560,4696
10300,11531
13726,14319
12720,22332
1484,26356
11853,11325
12989,28150
8452,3219
9854,20142
6249,36785
5515,2838
9015,39803
2138,40078
4292,14380
3591,4240
13798,20813
873,29670
308,9612
3857,4151
13494,11110
9863,34215
10735,26017
6826,11937
11223,11037
3212,39237
5886,14022
8878,36944
13716,37849
13492,15472
2815,23245
9000,38986
9222,38441
6142,1503
12624,34179
8127,3771
2,42866
6463,4002
11135,20947
12331,599
2044,30317
6827,25568
7928,26509
1012,43745
3269,39160
10528,30277
7109,23672
184,16451
1804,14909
10456,35519
12525,31213
3136,42685
200,6807
9173,39198
8714,40892
13711,18016
1990,39221
6185,17159
8603,15457
6177,27589
729,22492
2020,24189
2151,27080
7012,4020
3239,12420
10557,33698
9726,19397
647,39033
9002,29893
5478,7974
4006,42466
10000,21114
3484,11137
9394,19204
13724,31286
12493,23040
8537,1185
2525,22728
10341,16912
553,917
13490,3575
302,36088
994,17791
11748,17626
11672,5207
116,19518
8696,37697
989,16106
609,35657
7389,2691
4999,36860
7962,691
13256,25104
4204,34264
13353,11086
7274,25826
10421,10721
11882,38642
11243,37272
1655,11721
13707,898
1361,17095
10456,36464
3733,35455
9036,23573
3522,38547
4875,15151
2022,16800
12091,9664
11989,36949
2451,37031
4885,27008
10622,35284
401,25672
8074,25386
3760,11237
10276,22025
7152,39385
756,17377
4739,37139
8598,18158
3015,19946
9369,36585
11258,23018
9041,1757
12417,35142
12827,2577
6331,25468
6173,36953
13613,31206
447,35166
9189,12675
13738,43095
12175,43315
7100,22354
253,29850
10264,4536
1051,41937
2166,17119
8690,633
12898,13281
11066,14747
9674,37037
3548,19286
6770,18048
1050,10208
6390,5592
1807,27758
4798,16227
6658,29733
9560,27207
5726,20257
12098,33823
10912,41341
10669,43352
9728,40776
11266,9785
10084,37030
12677,35158
12296,19938
13137,11220
1489,9400
12568,33313
9556,27658
4827,20048
13674,35008
3809,10560
624,20158
11910,35396
3053,6619
7999,6781
